precinct,ballotsCast,totalVoters
AP01A,1076,1862
AP01B,290,729
AP01C,1227,2098
AP01D,357,792
AP02B,181,377
AP03,236,694
AP04A,1035,1551
AP04B,247,377
AP05,2490,4113
AP06,1060,1744
AP07A,1632,3053
AP07B,903,1466
AP09A,2158,3832
AP09B,440,760
AP021,1573,2707
AP022,1090,2002
AP10,561,895
AP12A,282,586
AP12B,246,607
AP12C,677,1251
AP13,1293,2406
AP14,1785,2795
JC01,2580,4541
JC02,1007,2011
JC03A,324,498
JC03B,714,1288
JC04A,2273,3896
JC04B,115,250
JC05,1083,1989
JC06,1246,2485
JC07,2177,3792
JC08,1529,2579
JC09,1502,2695
JC10,1151,2144
JC11,1739,2987
JC12,1531,2342
JC13A,1273,1996
JC13B,164,261
JC14,1393,2337
JC15,400,725
JC16,1446,2349
JC18,1681,2585
JC19,2107,3463
ML011,1394,2196
ML012,343,452
ML01B,62,102
ML021,1025,1749
ML022,125,229
ML023,832,1385
ML024,48,98
ML03,2179,3498
ML04A,960,1640
ML04B,712,1130
ML04C,48,70
ML05A,19,35
ML05B,214,348
ML05C,2087,3743
ML06A,664,1683
ML06B,1280,2539
ML071,55,88
ML072,620,1065
ML07A,386,655
MP01,293,437
RW01,2945,4438
RW02,2421,3643
RW03,2107,4002
RW04,1230,1733
RW05,837,1964
RW06,1597,2666
RW07A,403,1306
RW07B,166,355
RW08,1324,2085
RW09,3729,5615
RW10,2103,3130
RW11A,1388,2442
RW12,3598,5543
RW13,2154,3354
RW16,1130,1763
RW17,1396,2576
RW19,1328,1910
RW20,1594,2349
RW21,1870,3002
RW22A,1596,3826
SS01,1938,2809
SS02A,609,1087
SS02B,541,1148
SS03,780,1279
SS04,1450,2968
SS05,1209,1716
SS06,852,1264
SS07A,524,848
SS07B,252,489
SS07C,343,708
SS08A,510,1181
SS08B,363,617
SS08C,265,563
SS08D,484,1131
SS11A,1570,3455
SS11B,485,1117
SS11C,78,235
SS12,1395,2472
SS15A,690,2330
SS15B,652,1489
SS16,1367,1949
SS17,1826,3265
SS18A,419,605
SS18B,155,211
SS19A,1131,2774
SS19B,898,1968
SS20,779,1822
SS22,1222,2527
SS25,891,1512
SS26,1104,3148
SS29A,1267,2421
SS31,591,973
