precinct,ballotsCast,totalVoters
ASHFORD DUNWOODY RD,1767,2645
ASHFORD PARK ELEM,1368,2207
ASHFORD PARKSIDE,1728,3227
AUSTIN,1741,2356
BRIARLAKE ELEM,1134,1607
BRIARWOOD,1097,2098
BROOKHAVEN,1679,3121
CHAMBLEE,778,1534
CHAMBLEE 2,1386,2380
CHESNUT ELEM,1047,2069
CROSS KEYS HIGH,887,1938
DORAVILLE NORTH,1073,2476
DORAVILLE SOUTH,543,1085
DRESDEN ELEM,1997,4230
DUNWOODY,1401,2701
DUNWOODY HIGH,1344,1876
DUNWOODY LIBRARY,1707,2312
EMBRY HILLS,1150,1805
EVANSDALE ELEM,1442,2546
GEORGETOWN SQUARE,1534,3413
HAWTHORNE ELEM,1682,3422
HENDERSON MILL ELEM,1644,2790
HUNTLEY HILLS ELEM,1358,2827
KINGSLEY ELEM,1639,2292
KITTREDGE ELEM,1374,1961
LAKESIDE HIGH,2011,2901
LIVSEY ELEM,966,1334
MIDVALE ELEM,1330,1906
MIDVALE ROAD,1515,2617
MONTGOMERY ELEM,1421,2182
MT. VERNON EAST,1697,2397
MT. VERNON WEST,1428,2054
NORTH PEACHTREE,788,1625
OAKCLIFF ELEM,730,1677
PEACHTREE MIDDLE,1433,3020
PLEASANTDALE ROAD,1245,3678
SILVER LAKE,2140,4336
SKYLAND,999,1679
TILLY MILL ROAD,1007,1430
TUCKER,1796,2782
TUCKER LIBRARY,1397,2420
WARREN TECH,632,1162
WINTERS CHAPEL,918,1303
