precinct,AlexanderHernandez,AlexanderHernandez_AbsenteebyMail,AlexanderHernandez_AdvanceinPerson,AlexanderHernandez_ElectionDay,AlexanderHernandez_Provisional,AmyKremer,AmyKremer_AbsenteebyMail,AmyKremer_AdvanceinPerson,AmyKremer_ElectionDay,AmyKremer_Provisional,AndrePollard,AndrePollard_AbsenteebyMail,AndrePollard_AdvanceinPerson,AndrePollard_ElectionDay,AndrePollard_Provisional,BobGray,BobGray_AbsenteebyMail,BobGray_AdvanceinPerson,BobGray_ElectionDay,BobGray_Provisional,BruceLevell,BruceLevell_AbsenteebyMail,BruceLevell_AdvanceinPerson,BruceLevell_ElectionDay,BruceLevell_Provisional,DEM,DEM_AbsenteebyMail,DEM_AdvanceinPerson,DEM_ElectionDay,DEM_Provisional,DanMoody,DanMoody_AbsenteebyMail,DanMoody_AdvanceinPerson,DanMoody_ElectionDay,DanMoody_Provisional,DavidAbroms,DavidAbroms_AbsenteebyMail,DavidAbroms_AdvanceinPerson,DavidAbroms_ElectionDay,DavidAbroms_Provisional,IND,IND_AbsenteebyMail,IND_AdvanceinPerson,IND_ElectionDay,IND_Provisional,JonOssoff,JonOssoff_AbsenteebyMail,JonOssoff_AdvanceinPerson,JonOssoff_ElectionDay,JonOssoff_Provisional,JudsonHill,JudsonHill_AbsenteebyMail,JudsonHill_AdvanceinPerson,JudsonHill_ElectionDay,JudsonHill_Provisional,KarenHandel,KarenHandel_AbsenteebyMail,KarenHandel_AdvanceinPerson,KarenHandel_ElectionDay,KarenHandel_Provisional,KeithGrawert,KeithGrawert_AbsenteebyMail,KeithGrawert_AdvanceinPerson,KeithGrawert_ElectionDay,KeithGrawert_Provisional,KurtWilson,KurtWilson_AbsenteebyMail,KurtWilson_AdvanceinPerson,KurtWilson_ElectionDay,KurtWilson_Provisional,MohammadAliBhuiyan,MohammadAliBhuiyan_AbsenteebyMail,MohammadAliBhuiyan_AdvanceinPerson,MohammadAliBhuiyan_ElectionDay,MohammadAliBhuiyan_Provisional,REP,REP_AbsenteebyMail,REP_AdvanceinPerson,REP_ElectionDay,REP_Provisional,RaginEdwards,RaginEdwards_AbsenteebyMail,RaginEdwards_AdvanceinPerson,RaginEdwards_ElectionDay,RaginEdwards_Provisional,RebeccaQuigg,RebeccaQuigg_AbsenteebyMail,RebeccaQuigg_AdvanceinPerson,RebeccaQuigg_ElectionDay,RebeccaQuigg_Provisional,RichardKeatley,RichardKeatley_AbsenteebyMail,RichardKeatley_AdvanceinPerson,RichardKeatley_ElectionDay,RichardKeatley_Provisional,RonSlotin,RonSlotin_AbsenteebyMail,RonSlotin_AdvanceinPerson,RonSlotin_ElectionDay,RonSlotin_Provisional,WilliamLlop,WilliamLlop_AbsenteebyMail,WilliamLlop_AdvanceinPerson,WilliamLlop_ElectionDay,WilliamLlop_Provisional
Powers Ferry 01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,28,1,2,25,0,2,0,2,0,0,2,0,0,2,0,0,0,0,0,0,28,1,2,25,0,0,0,0,0,0,8,0,2,6,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,19,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Post Oak 01,1,0,0,1,0,3,0,0,3,0,2,0,0,2,0,233,7,12,214,0,3,0,0,3,0,564,45,101,416,2,163,5,6,152,0,17,0,1,16,0,3,0,0,3,0,554,45,98,409,2,275,2,23,249,1,375,7,27,341,0,4,0,0,4,0,29,0,1,27,1,4,0,0,4,0,1108,21,70,1015,2,3,0,0,3,0,0,0,0,0,0,1,0,0,1,0,6,0,3,3,0,2,0,0,2,0
Pope 01,1,0,0,1,0,4,0,0,4,0,0,0,0,0,0,193,7,21,163,2,1,0,0,1,0,580,29,164,385,2,101,5,9,87,0,11,1,3,7,0,1,0,0,1,0,574,29,164,379,2,234,9,38,187,0,264,10,28,226,0,1,0,0,1,0,13,0,2,11,0,2,0,0,2,0,828,32,101,693,2,2,0,0,2,0,2,0,0,2,0,1,0,0,1,0,1,0,0,1,0,4,0,0,4,0
Palmer 01,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,49,0,11,38,0,0,0,0,0,0,154,3,32,119,0,56,0,6,50,0,10,0,0,10,0,0,0,0,0,0,154,3,32,119,0,50,0,3,47,0,109,6,8,95,0,3,0,0,3,0,1,0,0,1,0,2,0,0,2,0,282,6,29,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rocky Mount 01,1,0,0,1,0,9,0,0,9,0,1,0,0,1,0,203,3,11,189,0,0,0,0,0,0,539,32,87,419,1,97,2,12,83,0,14,0,0,14,0,2,0,0,2,0,532,32,85,414,1,208,0,18,190,0,296,1,17,278,0,3,0,0,3,0,13,0,0,13,0,1,0,0,1,0,848,6,58,784,0,3,0,1,2,0,2,0,1,1,0,1,0,0,1,0,1,0,0,1,0,4,0,0,4,0
Roswell 01,0,0,0,0,0,7,1,0,6,0,0,0,0,0,0,303,6,53,244,0,2,0,0,2,0,1120,93,358,667,2,165,11,33,121,0,18,0,7,11,0,0,0,0,0,0,1106,90,354,660,2,546,12,89,444,1,561,11,78,471,1,3,0,1,2,0,26,0,1,25,0,4,0,0,4,0,1639,41,262,1334,2,5,0,1,4,0,2,0,1,1,0,1,0,1,0,0,6,3,1,2,0,4,0,0,4,0
Roswell 02,1,1,0,0,0,3,0,0,3,0,1,0,0,1,0,180,0,17,163,0,3,0,1,2,0,745,83,171,488,3,126,5,25,95,1,15,1,0,14,0,2,1,0,1,0,731,82,167,479,3,411,13,51,346,1,334,5,29,300,0,0,0,0,0,0,25,0,2,23,0,5,0,1,4,0,1102,24,126,950,2,4,0,2,2,0,3,0,2,1,0,2,1,0,1,0,5,0,0,5,0,0,0,0,0,0
Sandy Plains 01,3,0,0,3,0,8,0,0,8,0,0,0,0,0,0,138,6,12,120,0,2,0,1,1,0,541,36,131,373,1,84,5,7,72,0,13,0,3,10,0,3,0,0,3,0,532,35,130,366,1,178,5,18,155,0,193,0,10,183,0,1,0,0,1,0,7,0,0,7,0,3,0,0,3,0,628,16,51,561,0,3,1,0,2,0,4,0,1,3,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0
Shallowford Falls 01,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,213,9,26,178,0,6,0,0,6,0,675,40,156,479,0,127,0,22,105,0,10,0,0,10,0,0,0,0,0,0,669,40,154,475,0,251,8,36,207,0,320,5,45,270,0,1,0,0,1,0,27,0,1,26,0,3,0,0,3,0,967,22,130,815,0,3,0,2,1,0,0,0,0,0,0,1,0,0,1,0,2,0,0,2,0,2,0,0,2,0
Simpson 01,0,0,0,0,0,1,0,0,1,0,2,0,0,2,0,92,5,8,79,0,1,0,0,1,0,343,12,71,259,1,83,3,9,71,0,7,0,1,6,0,2,0,0,2,0,336,11,68,256,1,97,1,9,87,0,167,4,10,153,0,0,0,0,0,0,2,0,0,2,0,3,0,0,3,0,453,13,37,403,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,4,0,3,1,0,0,0,0,0,0
Sewell Mill 01,1,0,0,1,0,2,0,0,2,0,0,0,0,0,0,154,4,25,124,1,3,0,0,3,0,675,52,146,477,0,111,1,15,95,0,6,0,0,6,0,1,0,0,1,0,658,48,143,467,0,342,4,48,290,0,247,1,30,216,0,3,0,0,3,0,2,0,0,2,0,11,0,0,11,0,886,11,118,756,1,8,2,2,4,0,4,0,0,4,0,2,2,0,0,0,3,0,1,2,0,5,1,0,4,0
Sewell Mill 03,1,0,0,1,0,5,0,0,5,0,2,0,0,2,0,129,1,25,103,0,5,0,1,4,0,692,22,190,478,2,109,2,19,88,0,12,0,4,8,0,3,0,0,3,0,683,22,186,473,2,196,8,22,166,0,254,6,34,214,0,3,0,3,0,0,7,0,1,6,0,4,0,1,3,0,728,17,110,601,0,3,0,2,1,0,3,0,1,2,0,3,0,1,2,0,0,0,0,0,0,4,0,0,4,0
Sope Creek 01,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,130,1,26,103,0,1,0,0,1,0,435,27,136,271,1,87,1,27,59,0,15,0,3,12,0,0,0,0,0,0,427,24,133,269,1,308,14,70,224,0,170,3,21,146,0,6,0,3,3,0,4,0,0,4,0,2,0,1,1,0,726,19,151,556,0,2,0,1,1,0,4,2,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0
Sope Creek 02,3,0,2,1,0,5,0,2,3,0,0,0,0,0,0,141,2,25,114,0,5,0,1,4,0,761,57,230,473,1,124,3,22,99,0,27,1,5,21,0,3,0,2,1,0,750,57,229,463,1,374,15,70,289,0,314,9,54,251,0,3,2,1,0,0,7,0,0,7,0,5,0,2,3,0,1009,32,183,794,0,4,0,0,4,0,1,0,0,1,0,4,0,1,3,0,2,0,0,2,0,4,0,1,3,0
Sope Creek 03,1,0,0,1,0,2,0,0,2,0,1,0,0,1,0,167,0,22,145,0,0,0,0,0,0,490,42,110,336,2,83,0,11,72,0,7,0,1,6,0,2,0,0,2,0,483,42,108,331,2,332,8,36,287,1,233,1,33,199,0,3,0,0,3,0,7,0,0,7,0,7,0,2,5,0,844,9,106,728,1,1,0,0,1,0,0,0,0,0,0,2,0,0,2,0,4,0,2,2,0,3,0,1,2,0
Timber Ridge 01,0,0,0,0,0,5,1,0,4,0,0,0,0,0,0,136,4,27,105,0,1,0,0,1,0,536,42,153,341,0,82,4,15,63,0,11,0,1,10,0,0,0,0,0,0,532,42,153,337,0,305,8,41,254,2,223,2,27,194,0,2,0,0,2,0,13,0,3,10,0,2,0,0,2,0,781,19,114,646,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,1,0
Willeo 01,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,172,3,11,157,1,1,0,0,1,0,540,48,112,378,2,91,4,12,75,0,15,0,0,15,0,0,0,0,0,0,537,48,112,375,2,163,7,22,134,0,351,0,32,318,1,3,0,1,2,0,33,2,3,28,0,4,0,1,3,0,840,16,82,740,2,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,4,0,0,4,0
