precinct,DEM,DEM_AbsenteebyMail,DEM_AdvanceinPerson,DEM_ElectionDay,DEM_Provisional,DonaldJTrump,DonaldJTrump_AbsenteebyMail,DonaldJTrump_AdvanceinPerson,DonaldJTrump_ElectionDay,DonaldJTrump_Provisional,GaryJohnson,GaryJohnson_AbsenteebyMail,GaryJohnson_AdvanceinPerson,GaryJohnson_ElectionDay,GaryJohnson_Provisional,HillaryClinton,HillaryClinton_AbsenteebyMail,HillaryClinton_AdvanceinPerson,HillaryClinton_ElectionDay,HillaryClinton_Provisional,LIB,LIB_AbsenteebyMail,LIB_AdvanceinPerson,LIB_ElectionDay,LIB_Provisional,REP,REP_AbsenteebyMail,REP_AdvanceinPerson,REP_ElectionDay,REP_Provisional
Marietta 7A,1222,47,616,544,15,275,19,131,123,2,52,4,20,28,0,1222,47,616,544,15,52,4,20,28,0,275,19,131,123,2
Mars Hill 01,472,40,174,258,0,1639,129,534,975,1,71,5,9,57,0,472,40,174,258,0,71,5,9,57,0,1639,129,534,975,1
Mars Hill 02,648,33,275,338,2,1029,50,391,587,1,79,8,18,53,0,648,33,275,338,2,79,8,18,53,0,1029,50,391,587,1
Mount Bethel 01,1177,116,432,625,4,1671,171,532,965,3,152,15,26,111,0,1177,116,432,625,4,152,15,26,111,0,1671,171,532,965,3
Mount Bethel 03,959,108,433,417,1,1182,113,555,513,1,74,7,18,49,0,959,108,433,417,1,74,7,18,49,0,1182,113,555,513,1
Mount Bethel 04,809,94,304,409,2,1238,136,445,657,0,103,15,19,68,1,809,94,304,409,2,103,15,19,68,1,1238,136,445,657,0
North Cobb 01,597,26,231,338,2,788,56,256,474,2,71,3,19,49,0,597,26,231,338,2,71,3,19,49,0,788,56,256,474,2
Nickajack 01,2104,150,1062,881,11,704,45,276,382,1,155,14,34,107,0,2104,150,1062,881,11,155,14,34,107,0,704,45,276,382,1
Norton Park 01,1415,65,573,772,5,1074,119,426,529,0,135,5,31,99,0,1415,65,573,772,5,135,5,31,99,0,1074,119,426,529,0
Nicholson 01,571,34,248,288,1,977,83,403,490,1,87,2,27,57,1,571,34,248,288,1,87,2,27,57,1,977,83,403,490,1
Oakdale 01,1384,116,655,609,4,1086,119,408,557,2,103,6,19,78,0,1384,116,655,609,4,103,6,19,78,0,1086,119,408,557,2
Oregon 01,389,30,209,149,1,762,61,361,340,0,55,4,23,28,0,389,30,209,149,1,55,4,23,28,0,762,61,361,340,0
Oregon 02,2309,106,1195,1001,7,861,90,409,360,2,110,4,38,67,1,2309,106,1195,1001,7,110,4,38,67,1,861,90,409,360,2
Oregon 03,1188,39,648,493,8,577,67,303,206,1,69,0,27,42,0,1188,39,648,493,8,69,0,27,42,0,577,67,303,206,1
Oregon 04,1776,68,901,804,3,725,62,381,281,1,72,5,27,40,0,1776,68,901,804,3,72,5,27,40,0,725,62,381,281,1
Oregon 05,1281,80,710,488,3,1133,70,526,534,3,109,3,36,70,0,1281,80,710,488,3,109,3,36,70,0,1133,70,526,534,3
Pebblebrook 01,2291,87,1256,942,6,501,39,235,226,1,70,2,28,40,0,2291,87,1256,942,6,70,2,28,40,0,501,39,235,226,1
Powers Ferry 01,965,71,370,519,5,1102,84,435,579,4,118,6,31,81,0,965,71,370,519,5,118,6,31,81,0,1102,84,435,579,4
Pine Mountain 01,685,40,341,304,0,1608,134,678,794,2,102,9,23,69,1,685,40,341,304,0,102,9,23,69,1,1608,134,678,794,2
Pine Mountain 02,504,46,251,205,2,1600,113,704,780,3,76,9,17,50,0,504,46,251,205,2,76,9,17,50,0,1600,113,704,780,3
Post Oak 01,850,60,312,478,0,1631,142,499,989,1,131,9,32,90,0,850,60,312,478,0,131,9,32,90,0,1631,142,499,989,1
Pope 01,800,55,304,440,1,1317,129,433,754,1,107,6,24,77,0,800,55,304,440,1,107,6,24,77,0,1317,129,433,754,1
Palmer 01,588,27,257,303,1,1043,101,413,528,1,101,8,22,71,0,588,27,257,303,1,101,8,22,71,0,1043,101,413,528,1
Powder Springs 1A,1639,78,1020,537,4,928,58,496,371,3,87,3,29,55,0,1639,78,1020,537,4,87,3,29,55,0,928,58,496,371,3
Powder Springs 2A,1456,63,817,573,3,415,28,237,150,0,62,1,24,37,0,1456,63,817,573,3,62,1,24,37,0,415,28,237,150,0
Powder Springs 3A,1450,50,790,608,2,624,62,280,280,2,56,2,16,38,0,1450,50,790,608,2,56,2,16,38,0,624,62,280,280,2
Pitner 01,648,37,246,364,1,1089,54,328,705,2,92,3,18,71,0,648,37,246,364,1,92,3,18,71,0,1089,54,328,705,2
Rocky Mountain 01,854,56,326,471,1,1383,100,478,803,2,111,4,20,86,1,854,56,326,471,1,111,4,20,86,1,1383,100,478,803,2
Riverside 01,910,24,399,482,5,85,6,40,38,1,24,2,13,9,0,910,24,399,482,5,24,2,13,9,0,85,6,40,38,1
Roswell 01,1534,157,572,805,0,2293,218,666,1408,1,186,10,33,143,0,1534,157,572,805,0,186,10,33,143,0,2293,218,666,1408,1
Roswell 02,1043,130,319,594,0,1453,117,412,921,3,143,22,25,96,0,1043,130,319,594,0,143,22,25,96,0,1453,117,412,921,3
Sandy Plains 01,851,70,305,475,1,1053,90,347,613,3,105,5,26,74,0,851,70,305,475,1,105,5,26,74,0,1053,90,347,613,3
Shallowford Fall 01,920,82,370,468,0,1403,127,456,819,1,112,9,20,83,0,920,82,370,468,0,112,9,20,83,0,1403,127,456,819,1
Simpson 01,537,53,190,292,2,768,100,237,429,2,58,6,16,35,1,537,53,190,292,2,58,6,16,35,1,768,100,237,429,2
Sewell Mill 01,979,92,330,556,1,1272,113,373,785,1,110,9,16,85,0,979,92,330,556,1,110,9,16,85,0,1272,113,373,785,1
Sewell Mill 03,1376,90,536,747,3,1213,130,419,661,3,132,8,35,89,0,1376,90,536,747,3,132,8,35,89,0,1213,130,419,661,3
Smyrna 1A,1596,96,657,839,4,489,45,153,287,4,104,6,29,68,1,1596,96,657,839,4,104,6,29,68,1,489,45,153,287,4
Smyrna 2A,2208,134,1080,986,8,787,78,298,409,2,153,7,52,93,1,2208,134,1080,986,8,153,7,52,93,1,787,78,298,409,2
Smyrna 3A,2253,142,1066,1037,8,1376,91,580,702,3,220,11,64,145,0,2253,142,1066,1037,8,220,11,64,145,0,1376,91,580,702,3
Smyrna 4A,2070,197,1046,824,3,1770,199,763,803,5,237,17,64,155,1,2070,197,1046,824,3,237,17,64,155,1,1770,199,763,803,5
Smyrna 5A,1370,58,629,673,10,684,73,245,363,3,86,7,16,63,0,1370,58,629,673,10,86,7,16,63,0,684,73,245,363,3
Smyrna 6A,2168,181,1036,944,7,1641,174,676,785,6,215,18,63,134,0,2168,181,1036,944,7,215,18,63,134,0,1641,174,676,785,6
Smyrna 7A,2628,177,1564,881,6,1358,120,591,647,0,191,10,61,120,0,2628,177,1564,881,6,191,10,61,120,0,1358,120,591,647,0
Sope Creek 01,585,41,212,330,2,978,92,317,568,1,81,10,22,49,0,585,41,212,330,2,81,10,22,49,0,978,92,317,568,1
Sope Creek 02,1364,162,583,611,8,1491,147,546,794,4,150,9,30,110,1,1364,162,583,611,8,150,9,30,110,1,1491,147,546,794,4
Sope Creek 03,723,77,240,405,1,1228,103,311,811,3,86,5,9,72,0,723,77,240,405,1,86,5,9,72,0,1228,103,311,811,3
Sweetwater 01,1151,53,566,530,2,897,81,402,414,0,50,2,19,29,0,1151,53,566,530,2,50,2,19,29,0,897,81,402,414,0
Sweetwater 02,1145,60,476,601,8,383,49,121,212,1,39,2,4,33,0,1145,60,476,601,8,39,2,4,33,0,383,49,121,212,1
Terrell Mill 01,1999,76,876,1031,16,873,64,325,480,4,157,10,49,97,1,1999,76,876,1031,16,157,10,49,97,1,873,64,325,480,4
Timber Ridge 01,768,73,228,466,1,1002,85,267,649,1,88,7,7,74,0,768,73,228,466,1,88,7,7,74,0,1002,85,267,649,1
Vaughn 01,599,41,277,280,1,1541,75,672,793,1,100,9,26,65,0,599,41,277,280,1,100,9,26,65,0,1541,75,672,793,1
Vinings 01,861,67,372,420,2,585,48,177,359,1,65,3,16,46,0,861,67,372,420,2,65,3,16,46,0,585,48,177,359,1
Vinings 02,2240,179,974,1086,1,1227,114,477,630,6,184,14,45,125,0,2240,179,974,1086,1,184,14,45,125,0,1227,114,477,630,6
Vinings 03,1605,138,697,763,7,992,120,357,514,1,122,9,28,85,0,1605,138,697,763,7,122,9,28,85,0,992,120,357,514,1
Vinings 04,1018,110,382,518,8,1273,145,302,825,1,96,15,19,62,0,1018,110,382,518,8,96,15,19,62,0,1273,145,302,825,1
Wade Green 02,1364,79,570,713,2,1417,99,470,842,6,159,8,43,108,0,1364,79,570,713,2,159,8,43,108,0,1417,99,470,842,6
Wileo 01,752,69,254,429,0,1257,123,409,723,2,110,5,12,93,0,752,69,254,429,0,110,5,12,93,0,1257,123,409,723,2
