precinct,AlexanderHernandez,AlexanderHernandez_AbsenteebyMail,AlexanderHernandez_AdvanceinPerson,AlexanderHernandez_ElectionDay,AlexanderHernandez_Provisional,AmyKremer,AmyKremer_AbsenteebyMail,AmyKremer_AdvanceinPerson,AmyKremer_ElectionDay,AmyKremer_Provisional,AndrePollard,AndrePollard_AbsenteebyMail,AndrePollard_AdvanceinPerson,AndrePollard_ElectionDay,AndrePollard_Provisional,BobGray,BobGray_AbsenteebyMail,BobGray_AdvanceinPerson,BobGray_ElectionDay,BobGray_Provisional,BruceLevell,BruceLevell_AbsenteebyMail,BruceLevell_AdvanceinPerson,BruceLevell_ElectionDay,BruceLevell_Provisional,DEM,DEM_AbsenteebyMail,DEM_AdvanceinPerson,DEM_ElectionDay,DEM_Provisional,DanMoody,DanMoody_AbsenteebyMail,DanMoody_AdvanceinPerson,DanMoody_ElectionDay,DanMoody_Provisional,DavidAbroms,DavidAbroms_AbsenteebyMail,DavidAbroms_AdvanceinPerson,DavidAbroms_ElectionDay,DavidAbroms_Provisional,IND,IND_AbsenteebyMail,IND_AdvanceinPerson,IND_ElectionDay,IND_Provisional,JonOssoff,JonOssoff_AbsenteebyMail,JonOssoff_AdvanceinPerson,JonOssoff_ElectionDay,JonOssoff_Provisional,JudsonHill,JudsonHill_AbsenteebyMail,JudsonHill_AdvanceinPerson,JudsonHill_ElectionDay,JudsonHill_Provisional,KarenHandel,KarenHandel_AbsenteebyMail,KarenHandel_AdvanceinPerson,KarenHandel_ElectionDay,KarenHandel_Provisional,KeithGrawert,KeithGrawert_AbsenteebyMail,KeithGrawert_AdvanceinPerson,KeithGrawert_ElectionDay,KeithGrawert_Provisional,KurtWilson,KurtWilson_AbsenteebyMail,KurtWilson_AdvanceinPerson,KurtWilson_ElectionDay,KurtWilson_Provisional,MohammadAliBhuiyan,MohammadAliBhuiyan_AbsenteebyMail,MohammadAliBhuiyan_AdvanceinPerson,MohammadAliBhuiyan_ElectionDay,MohammadAliBhuiyan_Provisional,REP,REP_AbsenteebyMail,REP_AdvanceinPerson,REP_ElectionDay,REP_Provisional,RaginEdwards,RaginEdwards_AbsenteebyMail,RaginEdwards_AdvanceinPerson,RaginEdwards_ElectionDay,RaginEdwards_Provisional,RebeccaQuigg,RebeccaQuigg_AbsenteebyMail,RebeccaQuigg_AdvanceinPerson,RebeccaQuigg_ElectionDay,RebeccaQuigg_Provisional,RichardKeatley,RichardKeatley_AbsenteebyMail,RichardKeatley_AdvanceinPerson,RichardKeatley_ElectionDay,RichardKeatley_Provisional,RonSlotin,RonSlotin_AbsenteebyMail,RonSlotin_AdvanceinPerson,RonSlotin_ElectionDay,RonSlotin_Provisional,WilliamLlop,WilliamLlop_AbsenteebyMail,WilliamLlop_AdvanceinPerson,WilliamLlop_ElectionDay,WilliamLlop_Provisional
MIDVALE ELEM,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,104,1,11,92,0,2,0,0,2,0,526,43,111,372,0,104,6,12,86,0,2,0,0,2,0,1,0,0,1,0,517,43,110,364,0,64,0,5,59,0,221,3,12,205,1,2,0,0,2,0,1,0,0,1,0,2,0,0,2,0,506,10,40,455,1,1,0,0,1,0,2,0,0,2,0,2,0,0,2,0,4,0,1,3,0,4,0,0,4,0
MIDVALE ROAD,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,72,0,6,66,0,0,0,0,0,0,770,42,127,600,1,74,1,2,71,0,2,0,2,0,0,1,0,0,1,0,763,42,125,595,1,60,0,3,57,0,190,3,10,177,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,402,4,24,374,0,3,0,1,2,0,0,0,0,0,0,1,0,0,1,0,3,0,1,2,0,1,0,0,1,0
MONTGOMERY ELEM,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,72,5,8,59,0,4,1,1,2,0,603,42,157,403,1,97,0,30,67,0,9,0,0,9,0,1,0,0,1,0,594,42,155,396,1,82,2,12,68,0,202,1,39,162,0,3,0,0,3,0,1,0,0,1,0,0,0,0,0,0,471,9,90,372,0,0,0,0,0,0,4,0,2,2,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0
MT. VERNON EAST,2,0,0,2,0,1,0,0,1,0,0,0,0,0,0,198,1,33,164,0,15,0,5,10,0,559,38,228,293,0,199,4,74,121,0,8,0,2,6,0,2,0,0,2,0,537,38,219,280,0,76,1,18,56,1,283,7,75,201,0,5,0,4,1,0,5,0,1,4,0,4,0,1,3,0,795,13,214,567,1,4,0,2,2,0,1,0,1,0,0,0,0,0,0,0,17,0,6,11,0,1,0,1,0,0
MT. VERNON WEST,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,73,0,12,61,0,4,0,3,1,0,592,43,282,265,2,140,5,52,83,0,10,0,5,5,0,1,0,0,1,0,583,42,278,261,2,50,0,5,45,0,231,4,52,175,0,2,0,0,2,0,5,0,1,4,0,6,0,2,4,0,521,9,132,380,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1,4,3,0,0,0,0,0,0
NORTH PEACHTREE,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,26,0,1,25,0,2,0,0,2,0,416,14,120,281,1,66,0,15,51,0,12,0,0,12,0,4,0,2,2,0,410,14,118,277,1,21,0,2,19,0,75,3,14,58,0,7,1,0,6,0,0,0,0,0,0,2,0,0,2,0,211,4,32,175,0,0,0,0,0,0,2,0,0,2,0,1,0,1,0,0,3,0,1,2,0,0,0,0,0,0
OAKCLIFF ELEM,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,23,1,2,20,0,0,0,0,0,0,376,29,63,283,1,24,1,3,20,0,4,0,0,4,0,1,0,0,1,0,373,29,63,280,1,9,0,0,9,0,28,1,4,23,0,0,0,0,0,0,2,0,0,2,0,12,0,3,9,0,106,3,12,91,0,0,0,0,0,0,1,0,0,1,0,2,0,0,2,0,0,0,0,0,0,4,0,0,4,0
PEACHTREE MIDDLE,2,0,1,1,0,1,0,1,0,0,0,0,0,0,0,57,1,17,39,0,2,0,0,2,0,730,43,289,398,0,105,2,36,66,1,6,1,2,3,0,2,0,1,1,0,715,42,284,389,0,44,1,12,31,0,118,2,20,96,0,2,0,2,0,0,3,0,1,2,0,3,0,0,3,0,341,7,91,242,1,6,0,2,4,0,3,0,0,3,0,2,0,1,1,0,4,1,2,1,0,0,0,0,0,0
PLEASANTDALE ROAD,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,23,0,1,22,0,0,0,0,0,0,682,31,141,508,2,30,4,1,25,0,4,0,0,4,0,1,0,0,1,0,672,29,139,502,2,13,0,3,10,0,83,5,13,63,2,1,0,0,1,0,0,0,0,0,0,8,0,0,8,0,164,9,18,135,2,7,1,2,4,0,1,1,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,1,0
SILVER LAKE,1,0,0,1,0,3,0,0,3,0,0,0,0,0,0,87,3,2,82,0,1,0,0,1,0,873,65,146,659,3,159,3,16,140,0,15,1,0,14,0,1,0,0,1,0,860,64,145,648,3,125,1,8,115,1,270,1,15,253,1,2,0,1,1,0,11,0,2,9,0,0,0,0,0,0,679,9,44,624,2,3,0,0,3,0,1,1,0,0,0,1,0,0,1,0,8,0,1,7,0,6,0,0,6,0
SKYLAND,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,80,0,2,78,0,1,0,0,1,0,447,25,57,364,1,54,1,4,49,0,4,0,0,4,0,0,0,0,0,0,443,25,57,360,1,45,1,3,41,0,109,1,8,100,0,1,1,0,0,0,3,0,0,3,0,7,0,1,6,0,305,4,18,283,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
TILLY MILL ROAD,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,89,1,11,77,0,6,0,0,6,0,376,31,142,203,0,98,1,17,80,0,12,0,4,8,0,1,0,0,1,0,367,31,138,198,0,57,2,8,47,0,158,4,20,134,0,6,0,0,6,0,3,0,1,2,0,3,0,0,3,0,433,8,62,363,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,6,0,2,4,0,1,0,1,0,0
TUCKER,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,116,3,7,106,0,1,0,0,1,0,827,71,169,586,1,111,5,10,96,0,12,0,2,10,0,0,0,0,0,0,800,69,167,564,0,87,1,3,83,0,249,3,14,232,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,581,12,37,532,0,4,1,0,3,0,1,0,0,1,0,22,1,2,18,1,0,0,0,0,0,2,0,0,2,0
TUCKER LIBRARY,0,0,0,0,0,2,0,0,2,0,1,0,0,1,0,77,1,9,67,0,2,0,1,1,0,661,30,167,462,2,72,3,9,59,1,3,0,1,2,0,1,0,0,1,0,647,27,166,453,1,31,1,4,26,0,139,2,9,128,0,3,0,0,3,0,0,0,0,0,0,3,0,0,3,0,332,7,33,291,1,4,0,1,3,0,4,2,0,2,0,5,0,0,4,1,1,1,0,0,0,0,0,0,0,0
WARREN TECH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,27,0,4,1,0,3,0,327,17,48,262,0,37,1,1,35,0,5,0,0,5,0,0,0,0,0,0,321,15,47,259,0,8,0,1,7,0,73,0,9,64,0,2,0,0,2,0,0,0,0,0,0,2,0,1,1,0,158,2,12,144,0,2,1,1,0,0,1,0,0,1,0,1,0,0,1,0,2,1,0,1,0,0,0,0,0,0
WINTERS CHAPEL,2,0,0,2,0,1,0,0,1,0,0,0,0,0,0,49,4,10,35,0,0,0,0,0,0,369,57,126,184,2,142,6,31,105,0,14,1,2,11,0,2,0,0,2,0,360,57,123,178,2,33,4,4,25,0,120,15,15,90,0,3,1,1,1,0,5,2,3,0,0,3,0,0,3,0,370,33,66,271,0,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,6,0,2,4,0,0,0,0,0,0
