precinct,ballotsCast,totalVoters
Addison 01,992,2155
Bells Ferry 02,1100,2656
Bells Ferry 03,1788,5182
Blackwell 01,973,2327
Chattahoochee 01,499,2464
Chestnut Ridge 01,1644,2829
Dickerson 01,1393,2608
Dodgen 01,1050,1918
Davis 01,826,1804
Eastside 01,1505,2740
Eastside 02,2010,3687
Elizabeth 02,917,2145
Elizabeth 03,1151,2440
Elizabeth 04,981,2469
Elizabeth 05,1315,2632
East Piedmont 01,136,303
Fullers Park 01,1592,3059
Garrison Mill 01,1308,2495
Gritters 01,1520,3503
Hightower 01,2033,3821
Kell 01,781,1799
Lassiter 01,1513,3284
Mabry 01,823,1555
Murdock 01,1969,3577
McCleskey 01,791,1582
Marietta 5A,126,816
Marietta 6A,193,749
Marietta 6B,1145,2457
Marietta 7A,155,563
Mount Bethel 01,2071,3754
Mount Bethel 03,1478,2849
Mount Bethel 04,1508,2743
Nicholson 01,871,2176
Powers Ferry 01,47,142
Post Oak 01,1678,3286
Pope 01,1412,2802
Palmer 01,436,1207
Rocky Mount 01,1389,2968
Roswell 01,2761,4948
Roswell 02,1851,3366
Sandy Plains 01,1174,2545
Shallowford Falls 01,1645,3153
Simpson 01,800,1747
Sewell Mill 01,1564,3020
Sewell Mill 03,1424,4022
Sope Creek 01,1163,1989
Sope Creek 02,1776,4016
Sope Creek 03,1337,2675
Terrell Mill 01,647,2357
Timber Ridge 01,1317,2282
Willeo 01,1382,2638
