precinct,DEM,DEM_AbsenteebyMail,DEM_AdvanceinPerson,DEM_ElectionDay,DEM_Provisional,DonaldJTrump,DonaldJTrump_AbsenteebyMail,DonaldJTrump_AdvanceinPerson,DonaldJTrump_ElectionDay,DonaldJTrump_Provisional,GaryJohnson,GaryJohnson_AbsenteebyMail,GaryJohnson_AdvanceinPerson,GaryJohnson_ElectionDay,GaryJohnson_Provisional,HillaryClinton,HillaryClinton_AbsenteebyMail,HillaryClinton_AdvanceinPerson,HillaryClinton_ElectionDay,HillaryClinton_Provisional,LIB,LIB_AbsenteebyMail,LIB_AdvanceinPerson,LIB_ElectionDay,LIB_Provisional,REP,REP_AbsenteebyMail,REP_AdvanceinPerson,REP_ElectionDay,REP_Provisional
SC09A,1752,42,1066,625,19,81,8,34,37,2,25,1,13,10,1,1752,42,1066,625,19,25,1,13,10,1,81,8,34,37,2
SC09B,1038,25,789,223,1,33,1,18,13,1,19,0,10,9,0,1038,25,789,223,1,19,0,10,9,0,33,1,18,13,1
SC10,784,20,399,362,3,27,0,18,9,0,14,1,4,9,0,784,20,399,362,3,14,1,4,9,0,27,0,18,9,0
SC11A,828,19,502,305,2,23,2,12,9,0,8,0,4,4,0,828,19,502,305,2,8,0,4,4,0,23,2,12,9,0
SC11B,930,29,574,326,1,24,1,12,11,0,12,0,8,4,0,930,29,574,326,1,12,0,8,4,0,24,1,12,11,0
SC13,1479,39,1184,256,0,85,3,58,24,0,13,1,10,2,0,1479,39,1184,256,0,13,1,10,2,0,85,3,58,24,0
SC14,528,14,382,128,4,18,0,9,9,0,7,0,3,4,0,528,14,382,128,4,7,0,3,4,0,18,0,9,9,0
SC15,3905,110,3028,763,4,168,8,125,35,0,64,4,40,20,0,3905,110,3028,763,4,64,4,40,20,0,168,8,125,35,0
SC16,2873,96,2230,541,6,63,3,38,21,1,24,1,15,8,0,2873,96,2230,541,6,24,1,15,8,0,63,3,38,21,1
SC17A,35,0,27,8,0,0,0,0,0,0,0,0,0,0,0,35,0,27,8,0,0,0,0,0,0,0,0,0,0,0
SC17C,647,21,511,115,0,28,1,16,11,0,9,0,6,3,0,647,21,511,115,0,9,0,6,3,0,28,1,16,11,0
SC18A,305,15,245,45,0,11,2,4,5,0,5,0,4,1,0,305,15,245,45,0,5,0,4,1,0,11,2,4,5,0
SC18B,3184,90,2657,435,2,101,8,71,22,0,39,2,27,10,0,3184,90,2657,435,2,39,2,27,10,0,101,8,71,22,0
SC19A,113,2,94,16,1,3,1,2,0,0,1,0,1,0,0,113,2,94,16,1,1,0,1,0,0,3,1,2,0,0
SC19B,696,16,415,262,3,23,1,11,11,0,1,0,1,0,0,696,16,415,262,3,1,0,1,0,0,23,1,11,11,0
SC211,744,14,503,226,1,30,3,20,7,0,8,0,4,4,0,744,14,503,226,1,8,0,4,4,0,30,3,20,7,0
SC212,1744,29,1240,474,1,112,4,70,38,0,31,0,23,8,0,1744,29,1240,474,1,31,0,23,8,0,112,4,70,38,0
SC23A,2951,54,1721,1172,4,92,3,42,47,0,34,2,13,19,0,2951,54,1721,1172,4,34,2,13,19,0,92,3,42,47,0
SC23B,294,3,198,92,1,8,1,4,3,0,1,0,1,0,0,294,3,198,92,1,1,0,1,0,0,8,1,4,3,0
SC27,1276,38,909,329,0,40,2,20,18,0,11,0,7,4,0,1276,38,909,329,0,11,0,7,4,0,40,2,20,18,0
SC29A,1635,51,989,590,5,51,7,23,21,0,21,2,8,11,0,1635,51,989,590,5,21,2,8,11,0,51,7,23,21,0
SC30A,91,18,58,12,3,2,0,1,1,0,2,0,2,0,0,91,18,58,12,3,2,0,2,0,0,2,0,1,1,0
SC30B,570,14,359,196,1,10,1,3,6,0,11,0,5,6,0,570,14,359,196,1,11,0,5,6,0,10,1,3,6,0
SS01,852,76,526,249,1,1278,90,702,486,0,90,9,35,46,0,852,76,526,249,1,90,9,35,46,0,1278,90,702,486,0
SS02A,414,31,306,72,5,316,21,230,64,1,43,2,27,14,0,414,31,306,72,5,43,2,27,14,0,316,21,230,64,1
SS02B,539,24,401,114,0,197,8,146,43,0,43,2,29,11,1,539,24,401,114,0,43,2,29,11,1,197,8,146,43,0
SS03,492,28,324,140,0,430,15,251,163,1,61,4,27,30,0,492,28,324,140,0,61,4,27,30,0,430,15,251,163,1
SS04,1225,43,795,377,10,675,29,392,251,3,113,4,57,51,1,1225,43,795,377,10,113,4,57,51,1,675,29,392,251,3
SS05,652,46,438,168,0,657,30,408,219,0,66,4,34,28,0,652,46,438,168,0,66,4,34,28,0,657,30,408,219,0
SS06,465,28,340,83,14,523,30,337,149,7,44,1,24,18,1,465,28,340,83,14,44,1,24,18,1,523,30,337,149,7
SS07A,265,40,176,49,0,361,69,214,78,0,29,3,16,10,0,265,40,176,49,0,29,3,16,10,0,361,69,214,78,0
SS07B,180,19,121,40,0,152,10,91,51,0,28,0,12,16,0,180,19,121,40,0,28,0,12,16,0,152,10,91,51,0
SS07C,246,59,126,61,0,234,55,126,53,0,18,4,6,8,0,246,59,126,61,0,18,4,6,8,0,234,55,126,53,0
SS08A,502,21,306,173,2,266,11,140,114,1,39,0,14,25,0,502,21,306,173,2,39,0,14,25,0,266,11,140,114,1
SS08B,210,14,149,47,0,210,15,133,62,0,18,1,7,10,0,210,14,149,47,0,18,1,7,10,0,210,15,133,62,0
SS08C,230,14,166,50,0,133,7,79,47,0,21,1,10,10,0,230,14,166,50,0,21,1,10,10,0,133,7,79,47,0
SS08D,431,24,294,113,0,280,25,172,83,0,36,2,24,10,0,431,24,294,113,0,36,2,24,10,0,280,25,172,83,0
SS09A,969,112,652,205,0,1122,66,689,367,0,92,4,55,33,0,969,112,652,205,0,92,4,55,33,0,1122,66,689,367,0
SS09B,1122,115,785,222,0,1266,77,854,334,1,97,10,52,35,0,1122,115,785,222,0,97,10,52,35,0,1266,77,854,334,1
SS11A,1383,86,839,450,8,914,68,472,368,6,124,5,59,59,1,1383,86,839,450,8,124,5,59,59,1,914,68,472,368,6
SS11B,489,19,316,154,0,224,12,148,61,3,42,2,17,23,0,489,19,316,154,0,42,2,17,23,0,224,12,148,61,3
SS11C,117,3,61,53,0,33,2,20,11,0,6,0,2,4,0,117,3,61,53,0,6,0,2,4,0,33,2,20,11,0
SS11D,103,13,62,28,0,130,5,97,28,0,15,2,7,6,0,103,13,62,28,0,15,2,7,6,0,130,5,97,28,0
SS12,896,95,546,254,1,837,73,507,256,1,110,10,59,40,1,896,95,546,254,1,110,10,59,40,1,837,73,507,256,1
SS13A,487,18,269,198,2,462,12,203,246,1,49,2,20,25,2,487,18,269,198,2,49,2,20,25,2,462,12,203,246,1
SS13B,303,14,172,117,0,237,11,150,76,0,24,2,11,11,0,303,14,172,117,0,24,2,11,11,0,237,11,150,76,0
SS14,390,28,260,102,0,578,29,323,226,0,54,2,20,32,0,390,28,260,102,0,54,2,20,32,0,578,29,323,226,0
SS15A,974,29,522,421,2,198,20,97,80,1,71,1,25,45,0,974,29,522,421,2,71,1,25,45,0,198,20,97,80,1
SS15B,608,21,353,233,1,308,13,161,134,0,38,0,14,24,0,608,21,353,233,1,38,0,14,24,0,308,13,161,134,0
SS16,655,44,439,172,0,834,59,446,328,1,75,5,32,37,1,655,44,439,172,0,75,5,32,37,1,834,59,446,328,1
SS17,1089,71,680,332,6,1169,73,726,370,0,84,13,35,36,0,1089,71,680,332,6,84,13,35,36,0,1169,73,726,370,0
SS18A,226,16,154,55,1,247,15,156,76,0,15,0,7,8,0,226,16,154,55,1,15,0,7,8,0,247,15,156,76,0
SS18B,78,5,57,16,0,98,4,64,30,0,7,1,3,3,0,78,5,57,16,0,7,1,3,3,0,98,4,64,30,0
SS19A,1251,41,868,341,1,447,15,313,119,0,77,8,42,27,0,1251,41,868,341,1,77,8,42,27,0,447,15,313,119,0
SS19B,909,25,652,230,2,334,18,237,79,0,68,1,48,19,0,909,25,652,230,2,68,1,48,19,0,334,18,237,79,0
SS20,742,28,486,226,2,393,22,273,98,0,45,3,26,16,0,742,28,486,226,2,45,3,26,16,0,393,22,273,98,0
SS22,983,96,603,281,3,655,53,358,242,2,55,0,20,34,1,983,96,603,281,3,55,0,20,34,1,655,53,358,242,2
SS25,453,47,278,128,0,622,57,352,213,0,47,4,21,22,0,453,47,278,128,0,47,4,21,22,0,622,57,352,213,0
SS26,1478,40,970,467,1,332,15,213,103,1,92,4,51,37,0,1478,40,970,467,1,92,4,51,37,0,332,15,213,103,1
SS29A,966,49,651,266,0,681,50,380,251,0,86,1,41,44,0,966,49,651,266,0,86,1,41,44,0,681,50,380,251,0
SS31,382,33,279,70,0,333,14,247,71,1,22,5,9,8,0,382,33,279,70,0,22,5,9,8,0,333,14,247,71,1
UC01A,1698,37,1010,646,5,81,3,47,31,0,40,2,19,19,0,1698,37,1010,646,5,40,2,19,19,0,81,3,47,31,0
UC01B,204,3,123,77,1,3,0,2,1,0,5,1,3,1,0,204,3,123,77,1,5,1,3,1,0,3,0,2,1,0
UC01E,69,1,51,17,0,2,0,2,0,0,2,0,1,1,0,69,1,51,17,0,2,0,1,1,0,2,0,2,0,0
UC02A,3879,79,2709,1084,7,167,13,97,57,0,53,0,26,27,0,3879,79,2709,1084,7,53,0,26,27,0,167,13,97,57,0
UC02B,10,0,6,4,0,6,0,6,0,0,0,0,0,0,0,10,0,6,4,0,0,0,0,0,0,6,0,6,0,0
UC031,1019,28,581,401,9,281,42,128,111,0,25,2,15,8,0,1019,28,581,401,9,25,2,15,8,0,281,42,128,111,0
UC032,77,5,34,37,1,13,2,7,4,0,1,0,0,1,0,77,5,34,37,1,1,0,0,1,0,13,2,7,4,0
