precinct,DEM,DEM_AbsenteebyMail,DEM_AdvanceinPerson,DEM_ElectionDay,DEM_Provisional,DonaldJTrump,DonaldJTrump_AbsenteebyMail,DonaldJTrump_AdvanceinPerson,DonaldJTrump_ElectionDay,DonaldJTrump_Provisional,GaryJohnson,GaryJohnson_AbsenteebyMail,GaryJohnson_AdvanceinPerson,GaryJohnson_ElectionDay,GaryJohnson_Provisional,HillaryClinton,HillaryClinton_AbsenteebyMail,HillaryClinton_AdvanceinPerson,HillaryClinton_ElectionDay,HillaryClinton_Provisional,LIB,LIB_AbsenteebyMail,LIB_AdvanceinPerson,LIB_ElectionDay,LIB_Provisional,REP,REP_AbsenteebyMail,REP_AdvanceinPerson,REP_ElectionDay,REP_Provisional
06J,1488,95,777,615,1,303,9,133,161,0,92,6,34,52,0,1488,95,777,615,1,92,6,34,52,0,303,9,133,161,0
06L1,497,25,255,217,0,145,12,45,88,0,28,0,11,17,0,497,25,255,217,0,28,0,11,17,0,145,12,45,88,0
06L2,338,21,170,147,0,132,5,50,77,0,15,0,6,9,0,338,21,170,147,0,15,0,6,9,0,132,5,50,77,0
06N,794,55,484,255,0,342,11,190,141,0,66,5,20,41,0,794,55,484,255,0,66,5,20,41,0,342,11,190,141,0
06Q,243,4,151,88,0,35,0,14,21,0,10,0,4,6,0,243,4,151,88,0,10,0,4,6,0,35,0,14,21,0
06R,885,72,442,371,0,211,9,78,123,1,40,1,11,28,0,885,72,442,371,0,40,1,11,28,0,211,9,78,123,1
07A,2123,134,1286,703,0,1752,118,974,659,1,209,6,93,110,0,2123,134,1286,703,0,209,6,93,110,0,1752,118,974,659,1
07B,899,73,571,251,4,1149,48,699,397,5,101,5,48,48,0,899,73,571,251,4,101,5,48,48,0,1149,48,699,397,5
07C,1306,234,736,336,0,1151,199,591,361,0,88,13,36,39,0,1306,234,736,336,0,88,13,36,39,0,1151,199,591,361,0
07D,1289,74,805,406,4,992,53,525,412,2,143,4,54,85,0,1289,74,805,406,4,143,4,54,85,0,992,53,525,412,2
07E,900,66,557,276,1,431,35,269,126,1,61,1,25,35,0,900,66,557,276,1,61,1,25,35,0,431,35,269,126,1
07F,1103,72,658,369,4,790,36,386,365,3,91,1,32,57,1,1103,72,658,369,4,91,1,32,57,1,790,36,386,365,3
07H,775,56,464,255,0,589,31,294,264,0,51,2,20,29,0,775,56,464,255,0,51,2,20,29,0,589,31,294,264,0
07J,1129,42,579,499,9,612,16,245,347,4,141,6,38,95,2,1129,42,579,499,9,141,6,38,95,2,612,16,245,347,4
07M,777,28,400,347,2,438,29,167,242,0,84,3,30,51,0,777,28,400,347,2,84,3,30,51,0,438,29,167,242,0
07N,795,41,443,311,0,190,8,78,104,0,54,0,15,39,0,795,41,443,311,0,54,0,15,39,0,190,8,78,104,0
08A,931,66,588,276,1,944,54,573,316,1,79,5,35,39,0,931,66,588,276,1,79,5,35,39,0,944,54,573,316,1
08B,982,59,696,226,1,1221,27,821,369,4,123,5,74,44,0,982,59,696,226,1,123,5,74,44,0,1221,27,821,369,4
08C,328,45,217,65,1,607,40,400,166,1,45,1,29,15,0,328,45,217,65,1,45,1,29,15,0,607,40,400,166,1
08D,283,28,193,59,3,436,27,292,117,0,33,5,16,12,0,283,28,193,59,3,33,5,16,12,0,436,27,292,117,0
08E,842,92,500,248,2,966,62,573,331,0,84,12,33,39,0,842,92,500,248,2,84,12,33,39,0,966,62,573,331,0
08F1,612,45,385,182,0,879,46,502,330,1,88,10,43,35,0,612,45,385,182,0,88,10,43,35,0,879,46,502,330,1
08G,932,82,506,341,3,673,34,333,304,2,60,0,18,42,0,932,82,506,341,3,60,0,18,42,0,673,34,333,304,2
08H,849,77,550,221,1,831,59,513,258,1,74,7,37,30,0,849,77,550,221,1,74,7,37,30,0,831,59,513,258,1
08J,1049,81,635,333,0,855,42,485,326,2,118,2,55,61,0,1049,81,635,333,0,118,2,55,61,0,855,42,485,326,2
08K,397,14,231,151,1,260,14,111,133,2,64,0,28,36,0,397,14,231,151,1,64,0,28,36,0,260,14,111,133,2
08L,1688,104,1060,517,7,751,45,409,295,2,182,10,76,95,1,1688,104,1060,517,7,182,10,76,95,1,751,45,409,295,2
08M,558,44,303,208,3,693,28,360,303,2,43,4,20,19,0,558,44,303,208,3,43,4,20,19,0,693,28,360,303,2
08N1,232,31,144,55,2,313,14,176,123,0,32,0,15,17,0,232,31,144,55,2,32,0,15,17,0,313,14,176,123,0
08N2,500,107,287,106,0,402,53,216,133,0,22,4,13,5,0,500,107,287,106,0,22,4,13,5,0,402,53,216,133,0
08P,633,11,363,258,1,168,6,80,82,0,50,2,18,30,0,633,11,363,258,1,50,2,18,30,0,168,6,80,82,0
09A,1504,48,907,541,8,465,14,237,214,0,138,3,66,69,0,1504,48,907,541,8,138,3,66,69,0,465,14,237,214,0
09B,197,19,81,97,0,6,0,1,5,0,2,0,0,2,0,197,19,81,97,0,2,0,0,2,0,6,0,1,5,0
09C,1552,118,862,571,1,33,4,14,15,0,24,3,11,10,0,1552,118,862,571,1,24,3,11,10,0,33,4,14,15,0
09D,910,52,430,428,0,19,1,9,9,0,10,0,3,7,0,910,52,430,428,0,10,0,3,7,0,19,1,9,9,0
09E,1222,40,725,456,1,49,4,24,21,0,35,3,16,16,0,1222,40,725,456,1,35,3,16,16,0,49,4,24,21,0
09F,1489,118,845,526,0,969,49,522,397,1,177,14,72,91,0,1489,118,845,526,0,177,14,72,91,0,969,49,522,397,1
09G,1480,55,781,644,0,399,10,177,212,0,120,3,44,73,0,1480,55,781,644,0,120,3,44,73,0,399,10,177,212,0
09H,466,17,229,220,0,85,7,28,50,0,27,0,10,17,0,466,17,229,220,0,27,0,10,17,0,85,7,28,50,0
09I,518,11,252,255,0,10,0,7,3,0,5,0,2,3,0,518,11,252,255,0,5,0,2,3,0,10,0,7,3,0
09K,1919,92,1052,775,0,59,4,29,26,0,30,0,14,16,0,1919,92,1052,775,0,30,0,14,16,0,59,4,29,26,0
09M,993,30,693,270,0,288,18,143,127,0,114,2,66,46,0,993,30,693,270,0,114,2,66,46,0,288,18,143,127,0
10A,1713,89,1077,544,3,29,3,12,14,0,25,2,11,12,0,1713,89,1077,544,3,25,2,11,12,0,29,3,12,14,0
10B,2514,163,1724,622,5,56,0,35,21,0,32,1,18,13,0,2514,163,1724,622,5,32,1,18,13,0,56,0,35,21,0
10C,1259,69,801,382,7,15,3,8,4,0,9,1,4,4,0,1259,69,801,382,7,9,1,4,4,0,15,3,8,4,0
10D,2057,84,1350,603,20,53,1,29,22,1,16,0,12,4,0,2057,84,1350,603,20,16,0,12,4,0,53,1,29,22,1
10E,545,35,309,200,1,8,1,3,4,0,9,2,1,6,0,545,35,309,200,1,9,2,1,6,0,8,1,3,4,0
10F,600,42,313,243,2,18,0,8,10,0,7,0,4,3,0,600,42,313,243,2,7,0,4,3,0,18,0,8,10,0
10G,819,33,534,252,0,21,2,7,12,0,2,0,1,1,0,819,33,534,252,0,2,0,1,1,0,21,2,7,12,0
10H1,214,8,138,68,0,3,0,1,2,0,3,0,1,2,0,214,8,138,68,0,3,0,1,2,0,3,0,1,2,0
10H2,1095,37,632,423,3,31,0,16,15,0,23,0,16,7,0,1095,37,632,423,3,23,0,16,7,0,31,0,16,15,0
10I,242,14,185,41,2,10,0,6,4,0,5,0,5,0,0,242,14,185,41,2,5,0,5,0,0,10,0,6,4,0
10J,437,18,151,260,8,13,1,7,4,1,6,0,2,4,0,437,18,151,260,8,6,0,2,4,0,13,1,7,4,1
10K,842,33,523,286,0,32,0,15,17,0,11,0,3,8,0,842,33,523,286,0,11,0,3,8,0,32,0,15,17,0
10M,1233,47,566,609,11,31,4,14,13,0,20,1,7,12,0,1233,47,566,609,11,20,1,7,12,0,31,4,14,13,0
10P,715,39,365,309,2,17,0,6,11,0,11,0,7,4,0,715,39,365,309,2,11,0,7,4,0,17,0,6,11,0
10R,367,7,135,225,0,8,0,4,4,0,5,1,1,3,0,367,7,135,225,0,5,1,1,3,0,8,0,4,4,0
11B,3038,116,2048,863,11,64,1,41,22,0,37,1,23,13,0,3038,116,2048,863,11,37,1,23,13,0,64,1,41,22,0
11C,1883,66,1545,268,4,33,0,30,3,0,18,0,14,4,0,1883,66,1545,268,4,18,0,14,4,0,33,0,30,3,0
11E1,617,19,396,199,3,16,2,5,9,0,12,1,5,6,0,617,19,396,199,3,12,1,5,6,0,16,2,5,9,0
11E2,496,14,346,136,0,6,0,4,2,0,7,0,4,3,0,496,14,346,136,0,7,0,4,3,0,6,0,4,2,0
11E3,1711,38,1168,504,1,38,2,16,20,0,23,0,10,13,0,1711,38,1168,504,1,23,0,10,13,0,38,2,16,20,0
11G,972,37,477,454,4,19,0,9,10,0,14,1,7,6,0,972,37,477,454,4,14,1,7,6,0,19,0,9,10,0
11H,347,19,194,134,0,12,0,6,6,0,4,0,2,2,0,347,19,194,134,0,4,0,2,2,0,12,0,6,6,0
11J,993,58,532,401,2,28,2,14,12,0,6,0,2,4,0,993,58,532,401,2,6,0,2,4,0,28,2,14,12,0
11K,1079,37,636,405,1,27,1,12,14,0,18,0,6,12,0,1079,37,636,405,1,18,0,6,12,0,27,1,12,14,0
11M,1574,43,959,568,4,29,1,16,12,0,18,2,10,6,0,1574,43,959,568,4,18,2,10,6,0,29,1,16,12,0
11N,1389,49,905,422,13,30,0,15,15,0,15,0,6,9,0,1389,49,905,422,13,15,0,6,9,0,30,0,15,15,0
11P,1013,74,495,444,0,18,0,7,11,0,14,0,6,8,0,1013,74,495,444,0,14,0,6,8,0,18,0,7,11,0
11R,768,35,384,347,2,16,0,9,7,0,7,1,4,2,0,768,35,384,347,2,7,1,4,2,0,16,0,9,7,0
12A,2389,72,1188,1121,8,111,3,37,69,2,65,0,23,42,0,2389,72,1188,1121,8,65,0,23,42,0,111,3,37,69,2
12D,579,13,272,284,10,11,2,2,7,0,9,0,6,3,0,579,13,272,284,10,9,0,6,3,0,11,2,2,7,0
12E1,574,24,260,278,12,26,1,20,5,0,8,0,3,4,1,574,24,260,278,12,8,0,3,4,1,26,1,20,5,0
12F,437,13,177,246,1,10,0,2,8,0,9,0,3,5,1,437,13,177,246,1,9,0,3,5,1,10,0,2,8,0
12G,424,9,136,278,1,27,0,6,21,0,9,0,3,6,0,424,9,136,278,1,9,0,3,6,0,27,0,6,21,0
12H,1664,54,710,895,5,45,4,13,28,0,22,0,7,15,0,1664,54,710,895,5,22,0,7,15,0,45,4,13,28,0
12I,425,4,222,197,2,7,0,1,6,0,4,0,2,2,0,425,4,222,197,2,4,0,2,2,0,7,0,1,6,0
12J,1201,32,525,644,0,26,4,12,10,0,19,2,6,11,0,1201,32,525,644,0,19,2,6,11,0,26,4,12,10,0
12K,1299,28,465,794,12,65,1,26,36,2,36,0,14,22,0,1299,28,465,794,12,36,0,14,22,0,65,1,26,36,2
12L,252,8,77,166,1,5,1,1,3,0,0,0,0,0,0,252,8,77,166,1,0,0,0,0,0,5,1,1,3,0
12M,1243,30,536,677,0,30,3,8,19,0,12,0,7,5,0,1243,30,536,677,0,12,0,7,5,0,30,3,8,19,0
12N,359,2,102,255,0,8,0,3,5,0,6,0,2,4,0,359,2,102,255,0,6,0,2,4,0,8,0,3,5,0
12S,908,3,591,312,2,19,0,11,8,0,12,0,4,8,0,908,3,591,312,2,12,0,4,8,0,19,0,11,8,0
AP01A,587,52,372,161,2,732,34,516,181,1,44,1,26,17,0,587,52,372,161,2,44,1,26,17,0,732,34,516,181,1
AP01B,247,7,160,79,1,203,13,133,57,0,30,0,17,13,0,247,7,160,79,1,30,0,17,13,0,203,13,133,57,0
AP01C,655,39,446,170,0,831,54,592,185,0,84,3,48,33,0,655,39,446,170,0,84,3,48,33,0,831,54,592,185,0
AP01D,293,22,197,74,0,222,13,144,65,0,29,3,8,18,0,293,22,197,74,0,29,3,8,18,0,222,13,144,65,0
AP02B,109,45,47,17,0,122,45,55,22,0,7,1,3,3,0,109,45,47,17,0,7,1,3,3,0,122,45,55,22,0
AP03,298,5,149,143,1,96,0,37,57,2,12,0,3,9,0,298,5,149,143,1,12,0,3,9,0,96,0,37,57,2
AP04A,439,24,312,102,1,731,49,486,195,1,59,4,37,18,0,439,24,312,102,1,59,4,37,18,0,731,49,486,195,1
AP04B,137,6,103,28,0,165,8,117,40,0,16,1,11,4,0,137,6,103,28,0,16,1,11,4,0,165,8,117,40,0
AP05,1275,87,836,348,4,1793,107,1085,600,1,111,10,56,45,0,1275,87,836,348,4,111,10,56,45,0,1793,107,1085,600,1
AP06,485,21,376,87,1,735,34,528,173,0,82,2,58,22,0,485,21,376,87,1,82,2,58,22,0,735,34,528,173,0
AP07A,962,60,630,272,0,1091,71,649,370,1,116,3,57,56,0,962,60,630,272,0,116,3,57,56,0,1091,71,649,370,1
AP07B,463,32,337,93,1,604,43,400,160,1,46,3,28,14,1,463,32,337,93,1,46,3,28,14,1,604,43,400,160,1
AP09A,1324,89,868,364,3,1366,92,903,369,2,135,5,67,62,1,1324,89,868,364,3,135,5,67,62,1,1366,92,903,369,2
AP09B,300,8,218,74,0,224,7,160,57,0,20,3,9,8,0,300,8,218,74,0,20,3,9,8,0,224,7,160,57,0
AP021,879,47,635,195,2,1010,70,703,235,2,118,10,77,31,0,879,47,635,195,2,118,10,77,31,0,1010,70,703,235,2
AP022,706,43,525,138,0,677,55,434,188,0,77,2,41,34,0,706,43,525,138,0,77,2,41,34,0,677,55,434,188,0
AP10,249,22,167,58,2,421,19,273,129,0,38,2,18,18,0,249,22,167,58,2,38,2,18,18,0,421,19,273,129,0
AP12A,257,9,148,100,0,141,2,92,47,0,15,1,8,6,0,257,9,148,100,0,15,1,8,6,0,141,2,92,47,0
AP12B,255,7,151,97,0,118,1,69,48,0,14,1,9,4,0,255,7,151,97,0,14,1,9,4,0,118,1,69,48,0
AP12C,353,10,250,93,0,472,21,353,98,0,33,0,19,14,0,353,10,250,93,0,33,0,19,14,0,472,21,353,98,0
AP13,838,39,617,182,0,915,59,639,217,0,55,0,40,15,0,838,39,617,182,0,55,0,40,15,0,915,59,639,217,0
AP14,942,68,621,252,1,1078,62,727,287,2,128,16,65,47,0,942,68,621,252,1,128,16,65,47,0,1078,62,727,287,2
CH01,107,1,57,48,1,44,0,28,16,0,6,1,4,1,0,107,1,57,48,1,6,1,4,1,0,44,0,28,16,0
CH02,135,5,84,45,1,182,4,78,99,1,3,0,3,0,0,135,5,84,45,1,3,0,3,0,0,182,4,78,99,1
CH03,75,3,38,34,0,160,1,66,93,0,10,0,4,6,0,75,3,38,34,0,10,0,4,6,0,160,1,66,93,0
CH04A,185,10,112,63,0,204,5,109,90,0,14,1,5,8,0,185,10,112,63,0,14,1,5,8,0,204,5,109,90,0
CH05,49,0,30,19,0,211,5,109,97,0,13,0,2,11,0,49,0,30,19,0,13,0,2,11,0,211,5,109,97,0
CP01B,157,8,103,46,0,73,6,47,20,0,9,0,4,5,0,157,8,103,46,0,9,0,4,5,0,73,6,47,20,0
CP011,529,7,349,169,4,126,7,84,35,0,23,1,6,16,0,529,7,349,169,4,23,1,6,16,0,126,7,84,35,0
CP012,590,25,409,154,2,163,2,114,47,0,29,2,13,14,0,590,25,409,154,2,29,2,13,14,0,163,2,114,47,0
CP02,445,16,280,148,1,73,2,51,20,0,26,0,16,10,0,445,16,280,148,1,26,0,16,10,0,73,2,51,20,0
CP04,23,2,13,7,1,2,1,1,0,0,0,0,0,0,0,23,2,13,7,1,0,0,0,0,0,2,1,1,0,0
CP05B,57,2,29,26,0,1,0,1,0,0,1,0,1,0,0,57,2,29,26,0,1,0,1,0,0,1,0,1,0,0
CP051,877,24,558,289,6,39,5,25,9,0,10,0,4,6,0,877,24,558,289,6,10,0,4,6,0,39,5,25,9,0
CP06A,213,2,129,79,3,12,0,5,7,0,2,0,1,1,0,213,2,129,79,3,2,0,1,1,0,12,0,5,7,0
CP07A,441,5,194,233,9,10,1,3,6,0,10,1,2,7,0,441,5,194,233,9,10,1,2,7,0,10,1,3,6,0
CP081,133,5,51,76,1,4,0,1,3,0,2,0,1,1,0,133,5,51,76,1,2,0,1,1,0,4,0,1,3,0
CP083,83,1,21,59,2,1,0,0,1,0,1,0,0,1,0,83,1,21,59,2,1,0,0,1,0,1,0,0,1,0
CP08A,209,1,78,121,9,4,0,2,2,0,3,0,0,3,0,209,1,78,121,9,3,0,0,3,0,4,0,2,2,0
EP01,2572,56,1554,953,9,266,5,135,126,0,70,2,32,36,0,2572,56,1554,953,9,70,2,32,36,0,266,5,135,126,0
EP02,2634,72,1610,948,4,275,10,158,107,0,75,0,42,33,0,2634,72,1610,948,4,75,0,42,33,0,275,10,158,107,0
EP03,3314,95,2220,991,8,173,10,109,54,0,63,2,36,25,0,3314,95,2220,991,8,63,2,36,25,0,173,10,109,54,0
EP04-05,2549,57,1566,922,4,84,7,49,28,0,25,0,12,13,0,2549,57,1566,922,4,25,0,12,13,0,84,7,49,28,0
EP04-13,1021,20,725,276,0,17,0,12,5,0,11,0,5,6,0,1021,20,725,276,0,11,0,5,6,0,17,0,12,5,0
FA01A,4191,115,3056,999,21,598,45,424,127,2,86,3,47,36,0,4191,115,3056,999,21,86,3,47,36,0,598,45,424,127,2
FA01B,358,14,238,103,3,20,1,9,10,0,6,2,0,4,0,358,14,238,103,3,6,2,0,4,0,20,1,9,10,0
HP01,1205,35,521,642,7,495,18,206,270,1,70,1,27,42,0,1205,35,521,642,7,70,1,27,42,0,495,18,206,270,1
JC01,1870,126,1160,577,7,1322,82,767,471,2,120,7,61,51,1,1870,126,1160,577,7,120,7,61,51,1,1322,82,767,471,2
JC02,722,52,446,222,2,697,91,384,222,0,35,7,19,9,0,722,52,446,222,2,35,7,19,9,0,697,91,384,222,0
JC03A,196,17,118,61,0,199,15,122,62,0,17,4,7,6,0,196,17,118,61,0,17,4,7,6,0,199,15,122,62,0
JC03B,549,21,324,203,1,373,9,204,160,0,38,2,14,22,0,549,21,324,203,1,38,2,14,22,0,373,9,204,160,0
JC04A,1410,140,1015,252,3,1381,136,931,314,0,151,24,86,41,0,1410,140,1015,252,3,151,24,86,41,0,1381,136,931,314,0
JC04B,91,3,63,25,0,74,4,51,19,0,9,2,7,0,0,91,3,63,25,0,9,2,7,0,0,74,4,51,19,0
JC05,736,31,513,192,0,651,15,445,189,2,81,2,42,37,0,736,31,513,192,0,81,2,42,37,0,651,15,445,189,2
JC06,713,65,427,220,1,1025,103,593,329,0,55,6,21,28,0,713,65,427,220,1,55,6,21,28,0,1025,103,593,329,0
JC07,1390,89,916,384,1,1207,60,814,333,0,107,4,66,37,0,1390,89,916,384,1,107,4,66,37,0,1207,60,814,333,0
JC08,872,38,632,198,4,964,43,705,208,8,110,9,56,43,2,872,38,632,198,4,110,9,56,43,2,964,43,705,208,8
JC09,1059,57,678,323,1,806,49,470,285,2,89,2,45,42,0,1059,57,678,323,1,89,2,45,42,0,806,49,470,285,2
JC10,800,42,518,239,1,619,36,347,234,2,69,3,36,30,0,800,42,518,239,1,69,3,36,30,0,619,36,347,234,2
JC11,897,61,610,226,0,1224,62,845,317,0,77,4,46,27,0,897,61,610,226,0,77,4,46,27,0,1224,62,845,317,0
JC12,579,56,434,87,2,1177,95,883,196,3,41,6,24,11,0,579,56,434,87,2,41,6,24,11,0,1177,95,883,196,3
JC13A,449,39,325,85,0,1011,69,724,218,0,61,5,30,26,0,449,39,325,85,0,61,5,30,26,0,1011,69,724,218,0
JC13B,38,3,27,8,0,153,17,113,23,0,9,2,5,2,0,38,3,27,8,0,9,2,5,2,0,153,17,113,23,0
JC14,708,72,508,127,1,1000,81,709,210,0,60,5,37,18,0,708,72,508,127,1,60,5,37,18,0,1000,81,709,210,0
JC15,294,16,186,92,0,202,12,111,79,0,29,0,15,14,0,294,16,186,92,0,29,0,15,14,0,202,12,111,79,0
JC16,802,41,525,236,0,907,38,532,336,1,102,6,46,50,0,802,41,525,236,0,102,6,46,50,0,907,38,532,336,1
JC18,791,41,568,181,1,1100,51,688,359,2,100,3,50,45,2,791,41,568,181,1,100,3,50,45,2,1100,51,688,359,2
JC19,1251,63,969,217,2,1239,60,962,215,2,143,11,88,44,0,1251,63,969,217,2,143,11,88,44,0,1239,60,962,215,2
ML011,627,21,479,125,2,985,49,699,233,4,87,4,55,28,0,627,21,479,125,2,87,4,55,28,0,985,49,699,233,4
ML012,103,6,73,24,0,232,11,181,40,0,12,3,4,5,0,103,6,73,24,0,12,3,4,5,0,232,11,181,40,0
ML01B,19,2,17,0,0,37,0,29,8,0,3,0,2,1,0,19,2,17,0,0,3,0,2,1,0,37,0,29,8,0
ML021,300,10,197,93,0,938,14,620,304,0,65,0,34,31,0,300,10,197,93,0,65,0,34,31,0,938,14,620,304,0
ML022,35,2,26,7,0,104,3,70,31,0,17,0,10,7,0,35,2,26,7,0,17,0,10,7,0,104,3,70,31,0
ML023,266,21,177,67,1,716,23,531,161,1,49,3,31,15,0,266,21,177,67,1,49,3,31,15,0,716,23,531,161,1
ML024,16,0,14,2,0,57,5,42,10,0,3,0,1,2,0,16,0,14,2,0,3,0,1,2,0,57,5,42,10,0
ML03,755,53,517,181,4,1799,105,1219,471,4,131,14,68,49,0,755,53,517,181,4,131,14,68,49,0,1799,105,1219,471,4
ML04A,433,31,290,112,0,738,43,529,165,1,61,3,39,19,0,433,31,290,112,0,61,3,39,19,0,738,43,529,165,1
ML04B,250,27,164,59,0,571,41,373,157,0,36,3,15,18,0,250,27,164,59,0,36,3,15,18,0,571,41,373,157,0
ML04C,18,1,15,2,0,52,0,43,9,0,1,0,0,1,0,18,1,15,2,0,1,0,0,1,0,52,0,43,9,0
ML05A,18,2,12,4,0,14,2,10,2,0,0,0,0,0,0,18,2,12,4,0,0,0,0,0,0,14,2,10,2,0
