precinct,AlexanderHernandez,AlexanderHernandez_AbsenteebyMail,AlexanderHernandez_AdvanceinPerson,AlexanderHernandez_ElectionDay,AlexanderHernandez_Provisional,AmyKremer,AmyKremer_AbsenteebyMail,AmyKremer_AdvanceinPerson,AmyKremer_ElectionDay,AmyKremer_Provisional,AndrePollard,AndrePollard_AbsenteebyMail,AndrePollard_AdvanceinPerson,AndrePollard_ElectionDay,AndrePollard_Provisional,BobGray,BobGray_AbsenteebyMail,BobGray_AdvanceinPerson,BobGray_ElectionDay,BobGray_Provisional,BruceLevell,BruceLevell_AbsenteebyMail,BruceLevell_AdvanceinPerson,BruceLevell_ElectionDay,BruceLevell_Provisional,DEM,DEM_AbsenteebyMail,DEM_AdvanceinPerson,DEM_ElectionDay,DEM_Provisional,DanMoody,DanMoody_AbsenteebyMail,DanMoody_AdvanceinPerson,DanMoody_ElectionDay,DanMoody_Provisional,DavidAbroms,DavidAbroms_AbsenteebyMail,DavidAbroms_AdvanceinPerson,DavidAbroms_ElectionDay,DavidAbroms_Provisional,IND,IND_AbsenteebyMail,IND_AdvanceinPerson,IND_ElectionDay,IND_Provisional,JonOssoff,JonOssoff_AbsenteebyMail,JonOssoff_AdvanceinPerson,JonOssoff_ElectionDay,JonOssoff_Provisional,JudsonHill,JudsonHill_AbsenteebyMail,JudsonHill_AdvanceinPerson,JudsonHill_ElectionDay,JudsonHill_Provisional,KarenHandel,KarenHandel_AbsenteebyMail,KarenHandel_AdvanceinPerson,KarenHandel_ElectionDay,KarenHandel_Provisional,KeithGrawert,KeithGrawert_AbsenteebyMail,KeithGrawert_AdvanceinPerson,KeithGrawert_ElectionDay,KeithGrawert_Provisional,KurtWilson,KurtWilson_AbsenteebyMail,KurtWilson_AdvanceinPerson,KurtWilson_ElectionDay,KurtWilson_Provisional,MohammadAliBhuiyan,MohammadAliBhuiyan_AbsenteebyMail,MohammadAliBhuiyan_AdvanceinPerson,MohammadAliBhuiyan_ElectionDay,MohammadAliBhuiyan_Provisional,REP,REP_AbsenteebyMail,REP_AdvanceinPerson,REP_ElectionDay,REP_Provisional,RaginEdwards,RaginEdwards_AbsenteebyMail,RaginEdwards_AdvanceinPerson,RaginEdwards_ElectionDay,RaginEdwards_Provisional,RebeccaQuigg,RebeccaQuigg_AbsenteebyMail,RebeccaQuigg_AdvanceinPerson,RebeccaQuigg_ElectionDay,RebeccaQuigg_Provisional,RichardKeatley,RichardKeatley_AbsenteebyMail,RichardKeatley_AdvanceinPerson,RichardKeatley_ElectionDay,RichardKeatley_Provisional,RonSlotin,RonSlotin_AbsenteebyMail,RonSlotin_AdvanceinPerson,RonSlotin_ElectionDay,RonSlotin_Provisional,WilliamLlop,WilliamLlop_AbsenteebyMail,WilliamLlop_AdvanceinPerson,WilliamLlop_ElectionDay,WilliamLlop_Provisional
SS02A,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,35,0,12,23,0,0,0,0,0,0,271,6,155,110,0,25,0,10,15,0,4,0,2,2,0,0,0,0,0,0,259,6,148,105,0,29,0,13,16,0,91,0,33,58,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,188,0,70,118,0,2,0,1,1,0,0,0,0,0,0,2,0,1,1,0,8,0,5,3,0,1,0,0,1,0
SS02B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,7,12,0,1,0,0,1,0,327,4,134,186,3,16,0,8,8,0,2,0,2,0,0,0,0,0,0,0,320,4,130,183,3,18,0,7,11,0,42,0,16,26,0,1,0,0,1,0,5,0,3,2,0,1,0,1,0,0,105,0,44,61,0,2,0,2,0,0,0,0,0,0,0,1,0,0,1,0,4,0,2,2,0,0,0,0,0,0
SS03,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,48,0,6,42,0,1,0,1,0,0,333,22,135,176,0,45,0,17,28,0,1,0,0,1,0,1,0,1,0,0,328,22,132,174,0,59,0,15,44,0,108,0,21,87,0,1,0,1,0,0,3,0,0,3,0,0,0,0,0,0,267,0,61,206,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,0,3,1,0,1,0,0,1,0
SS04,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,54,0,12,41,1,3,0,0,3,0,670,31,261,371,7,58,0,17,41,0,6,0,1,5,0,2,0,1,1,0,658,31,254,366,7,74,1,9,64,0,174,5,29,140,0,1,0,1,0,0,5,0,0,5,0,2,0,1,1,0,382,6,70,305,1,4,0,3,1,0,1,0,1,0,0,2,0,0,2,0,5,0,3,2,0,4,0,0,4,0
SS05,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,42,0,9,33,0,1,0,0,1,0,477,26,203,247,1,107,0,28,79,0,2,0,1,1,0,2,0,0,2,0,465,25,200,239,1,136,0,28,108,0,188,0,38,150,0,0,0,0,0,0,5,0,2,3,0,0,0,0,0,0,483,0,107,376,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,8,0,2,0,1,1,0
SS06,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,51,0,5,46,0,3,0,0,3,0,293,12,108,172,1,84,2,14,68,0,6,0,0,6,0,1,0,0,1,0,281,10,107,163,1,71,0,12,59,0,117,3,21,93,0,1,0,0,1,0,2,0,0,2,0,0,0,0,0,0,339,5,52,282,0,2,0,1,1,0,0,0,0,0,0,1,0,0,1,0,9,2,0,7,0,3,0,0,3,0
SS07A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1,5,31,1,0,0,0,0,0,172,11,59,101,1,40,3,12,25,0,4,0,1,3,0,0,0,0,0,0,169,11,59,98,1,42,1,10,31,0,96,4,26,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,9,54,159,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,2,0,3,0,0,3,0
SS07B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,11,0,0,0,0,0,0,116,8,40,68,0,15,0,6,9,0,1,0,0,1,0,0,0,0,0,0,112,8,36,68,0,19,0,6,13,0,28,0,7,21,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,77,0,20,57,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2,0,2,0,0,2,0,0,2,0
SS07C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,4,21,0,0,0,0,0,0,126,17,31,78,0,29,0,7,22,0,3,1,0,2,0,0,0,0,0,0,120,16,30,74,0,16,1,3,12,0,34,0,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,2,15,90,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0
SS08A,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,0,3,14,0,0,0,0,0,0,263,6,58,199,0,21,0,7,14,0,3,0,0,3,0,1,0,0,1,0,251,4,55,192,0,35,0,6,28,1,43,0,3,40,0,0,0,0,0,0,2,0,1,1,0,1,0,0,1,0,123,0,20,102,1,3,0,0,3,0,2,0,0,2,0,2,0,1,1,0,5,2,2,1,0,1,0,0,1,0
