precinct,DEM,DEM_AbsenteebyMail,DEM_AdvanceinPerson,DEM_ElectionDay,DEM_Provisional,REP,REP_AbsenteebyMail,REP_AdvanceinPerson,REP_ElectionDay,REP_Provisional,RodneyStooksbury,RodneyStooksbury_AbsenteebyMail,RodneyStooksbury_AdvanceinPerson,RodneyStooksbury_ElectionDay,RodneyStooksbury_Provisional,TomPrice,TomPrice_AbsenteebyMail,TomPrice_AdvanceinPerson,TomPrice_ElectionDay,TomPrice_Provisional
RW01,973,84,649,239,1,2443,208,1456,779,0,973,84,649,239,1,2443,208,1456,779,0
RW02,962,54,633,274,1,1844,93,1113,632,6,962,54,633,274,1,1844,93,1113,632,6
RW03,1211,47,753,409,2,1517,78,880,556,3,1211,47,753,409,2,1517,78,880,556,3
RW04,492,14,373,105,0,849,42,522,285,0,492,14,373,105,0,849,42,522,285,0
RW05,645,23,384,237,1,541,29,290,222,0,645,23,384,237,1,541,29,290,222,0
RW06,761,32,485,244,0,1188,77,644,467,0,761,32,485,244,0,1188,77,644,467,0
RW07A,528,11,264,248,5,148,2,76,70,0,528,11,264,248,5,148,2,76,70,0
RW07B,150,3,76,70,1,89,4,45,40,0,150,3,76,70,1,89,4,45,40,0
RW08,381,47,231,102,1,1175,114,685,374,2,381,47,231,102,1,1175,114,685,374,2
RW09,1079,91,755,229,4,3302,249,2004,1035,14,1079,91,755,229,4,3302,249,2004,1035,14
RW10,657,56,456,144,1,1726,117,1028,577,4,657,56,456,144,1,1726,117,1028,577,4
RW11A,676,21,434,217,4,1065,47,567,451,0,676,21,434,217,4,1065,47,567,451,0
RW12,1235,73,855,303,4,3106,205,1808,1091,2,1235,73,855,303,4,3106,205,1808,1091,2
RW13,871,37,555,277,2,1632,96,894,641,1,871,37,555,277,2,1632,96,894,641,1
RW16,445,16,294,135,0,900,61,528,311,0,445,16,294,135,0,900,61,528,311,0
RW17,828,36,562,227,3,891,46,553,292,0,828,36,562,227,3,891,46,553,292,0
RW19,393,24,267,102,0,1115,70,604,441,0,393,24,267,102,0,1115,70,604,441,0
RW20,700,25,561,113,1,1302,65,916,319,2,700,25,561,113,1,1302,65,916,319,2
RW21,656,37,461,158,0,1602,106,1114,380,2,656,37,461,158,0,1602,106,1114,380,2
RW22A,1263,28,816,419,0,1160,58,787,315,0,1263,28,816,419,0,1160,58,787,315,0
SS01,580,48,381,151,0,1611,129,865,617,0,580,48,381,151,0,1611,129,865,617,0
SS02A,340,25,245,66,4,425,28,311,86,0,340,25,245,66,4,425,28,311,86,0
SS02B,466,14,356,96,0,290,17,204,68,1,466,14,356,96,0,290,17,204,68,1
SS03,368,20,254,94,0,608,26,345,236,1,368,20,254,94,0,608,26,345,236,1
SS04,1040,43,663,326,8,935,34,556,343,2,1040,43,663,326,8,935,34,556,343,2
SS05,482,38,344,100,0,893,35,533,325,0,482,38,344,100,0,893,35,533,325,0
SS06,306,13,234,46,13,713,42,460,203,8,306,13,234,46,13,713,42,460,203,8
SS07A,184,22,127,35,0,460,84,269,107,0,184,22,127,35,0,460,84,269,107,0
SS07B,148,11,106,31,0,205,18,117,70,0,148,11,106,31,0,205,18,117,70,0
SS07C,178,40,93,45,0,297,74,150,73,0,178,40,93,45,0,297,74,150,73,0
SS08A,416,17,247,151,1,364,14,201,149,0,416,17,247,151,1,364,14,201,149,0
SS08B,148,11,110,27,0,279,20,170,89,0,148,11,110,27,0,279,20,170,89,0
SS08C,184,6,140,38,0,183,14,110,59,0,184,6,140,38,0,183,14,110,59,0
SS08D,382,22,256,104,0,350,28,217,105,0,382,22,256,104,0,350,28,217,105,0
SS11A,1147,62,708,372,5,1232,91,640,493,8,1147,62,708,372,5,1232,91,640,493,8
SS11B,424,17,267,138,2,311,14,198,97,2,424,17,267,138,2,311,14,198,97,2
SS11C,104,3,55,46,0,47,2,25,20,0,104,3,55,46,0,47,2,25,20,0
SS12,643,62,418,162,1,1151,107,683,360,1,643,62,418,162,1,1151,107,683,360,1
SS15A,930,24,488,418,0,287,25,142,120,0,930,24,488,418,0,287,25,142,120,0
SS15B,545,13,312,220,0,387,21,207,159,0,545,13,312,220,0,387,21,207,159,0
SS16,413,26,300,87,0,1146,81,614,450,1,413,26,300,87,0,1146,81,614,450,1
SS17,859,52,553,250,4,1488,106,890,491,1,859,52,553,250,4,1488,106,890,491,1
SS18A,144,9,107,27,1,342,21,206,115,0,144,9,107,27,1,342,21,206,115,0
SS18B,60,2,48,10,0,122,8,74,40,0,60,2,48,10,0,122,8,74,40,0
SS19A,1145,37,802,305,1,614,26,421,167,0,1145,37,802,305,1,614,26,421,167,0
SS19B,795,15,565,213,2,504,29,366,109,0,795,15,565,213,2,504,29,366,109,0
SS20,616,20,396,198,2,531,29,367,135,0,616,20,396,198,2,531,29,367,135,0
SS22,823,71,516,232,4,821,69,437,313,2,823,71,516,232,4,821,69,437,313,2
SS25,340,29,215,96,0,779,73,431,275,0,340,29,215,96,0,779,73,431,275,0
SS26,1378,31,902,445,0,492,29,308,154,1,1378,31,902,445,0,492,29,308,154,1
SS29A,779,38,533,208,0,909,62,507,340,0,779,38,533,208,0,909,62,507,340,0
SS31,266,22,202,42,0,441,27,312,101,1,266,22,202,42,0,441,27,312,101,1
