"","precinct","AlexanderHernandez","AlexanderHernandez_AbsenteebyMail","AlexanderHernandez_AdvanceinPerson","AlexanderHernandez_ElectionDay","AlexanderHernandez_Provisional","AmyKremer","AmyKremer_AbsenteebyMail","AmyKremer_AdvanceinPerson","AmyKremer_ElectionDay","AmyKremer_Provisional","AndrePollard","AndrePollard_AbsenteebyMail","AndrePollard_AdvanceinPerson","AndrePollard_ElectionDay","AndrePollard_Provisional","BobGray","BobGray_AbsenteebyMail","BobGray_AdvanceinPerson","BobGray_ElectionDay","BobGray_Provisional","BruceLevell","BruceLevell_AbsenteebyMail","BruceLevell_AdvanceinPerson","BruceLevell_ElectionDay","BruceLevell_Provisional","DEM","DEM_AbsenteebyMail","DEM_AdvanceinPerson","DEM_ElectionDay","DEM_Provisional","DanMoody","DanMoody_AbsenteebyMail","DanMoody_AdvanceinPerson","DanMoody_ElectionDay","DanMoody_Provisional","DavidAbroms","DavidAbroms_AbsenteebyMail","DavidAbroms_AdvanceinPerson","DavidAbroms_ElectionDay","DavidAbroms_Provisional","IND","IND_AbsenteebyMail","IND_AdvanceinPerson","IND_ElectionDay","IND_Provisional","JonOssoff","JonOssoff_AbsenteebyMail","JonOssoff_AdvanceinPerson","JonOssoff_ElectionDay","JonOssoff_Provisional","JudsonHill","JudsonHill_AbsenteebyMail","JudsonHill_AdvanceinPerson","JudsonHill_ElectionDay","JudsonHill_Provisional","KarenHandel","KarenHandel_AbsenteebyMail","KarenHandel_AdvanceinPerson","KarenHandel_ElectionDay","KarenHandel_Provisional","KeithGrawert","KeithGrawert_AbsenteebyMail","KeithGrawert_AdvanceinPerson","KeithGrawert_ElectionDay","KeithGrawert_Provisional","KurtWilson","KurtWilson_AbsenteebyMail","KurtWilson_AdvanceinPerson","KurtWilson_ElectionDay","KurtWilson_Provisional","MohammadAliBhuiyan","MohammadAliBhuiyan_AbsenteebyMail","MohammadAliBhuiyan_AdvanceinPerson","MohammadAliBhuiyan_ElectionDay","MohammadAliBhuiyan_Provisional","REP","REP_AbsenteebyMail","REP_AdvanceinPerson","REP_ElectionDay","REP_Provisional","RaginEdwards","RaginEdwards_AbsenteebyMail","RaginEdwards_AdvanceinPerson","RaginEdwards_ElectionDay","RaginEdwards_Provisional","RebeccaQuigg","RebeccaQuigg_AbsenteebyMail","RebeccaQuigg_AdvanceinPerson","RebeccaQuigg_ElectionDay","RebeccaQuigg_Provisional","RichardKeatley","RichardKeatley_AbsenteebyMail","RichardKeatley_AdvanceinPerson","RichardKeatley_ElectionDay","RichardKeatley_Provisional","RonSlotin","RonSlotin_AbsenteebyMail","RonSlotin_AdvanceinPerson","RonSlotin_ElectionDay","RonSlotin_Provisional","WilliamLlop","WilliamLlop_AbsenteebyMail","WilliamLlop_AdvanceinPerson","WilliamLlop_ElectionDay","WilliamLlop_Provisional","ballotsCast","totalVoters","COUNTY","PRECINCTS","IDRV","DRV","BC_TV","IDRV_BC","IDRV_TV","DRV_BC","DRV_TV","DEM_IDRV","DEM_DRV","DEM_BC","DEM_TV","REP_IDRV","REP_DRV","REP_BC","REP_TV","DPW","RPW","IPW"
"171","RW16",0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,94,3,16,75,0,2,0,0,2,0,345,9,151,184,1,80,1,22,56,1,13,0,7,6,0,0,0,0,0,0,344,9,151,183,1,21,0,7,14,0,194,2,46,146,0,2,0,2,0,0,32,0,9,23,0,1,0,1,0,0,443,6,112,324,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,789,1733,"Fulton",1,788,788,45.5279861511829,99.873257287706,45.4702827466821,99.873257287706,45.4702827466821,43.7817258883249,43.7817258883249,43.7262357414449,19.9076745527986,56.2182741116751,56.2182741116751,56.1470215462611,25.5626081938834,0,0,0
"172","RW17",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,91,2,32,57,0,2,0,0,2,0,657,17,338,301,1,78,0,39,38,1,10,0,5,5,0,1,0,0,1,0,648,17,334,296,1,34,0,5,28,1,189,0,60,129,0,3,0,0,3,0,11,0,8,3,0,3,0,0,3,0,422,2,149,269,2,3,0,2,1,0,2,0,0,2,0,2,0,1,1,0,2,0,1,1,0,1,0,0,1,0,1081,2534,"Fulton",1,1080,1079,42.6598263614838,99.9074930619797,42.620363062352,99.8149861239593,42.5808997632202,60.8333333333333,60.8897126969416,60.777058279371,25.9273875295975,39.0740740740741,39.1102873030584,39.0379278445883,16.6535122336227,0,0,0
"173","RW19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,8,70,0,0,0,0,0,0,345,9,178,158,0,86,2,28,56,0,10,0,3,7,0,0,0,0,0,0,338,9,174,155,0,47,0,7,40,0,216,0,37,179,0,0,0,0,0,0,54,0,7,47,0,3,0,1,2,0,495,2,91,402,0,3,0,2,1,0,1,0,0,1,0,1,0,1,0,0,2,0,1,1,0,1,0,0,1,0,840,1885,"Fulton",1,840,840,44.5623342175066,100,44.5623342175066,100,44.5623342175066,41.0714285714286,41.0714285714286,41.0714285714286,18.3023872679045,58.9285714285714,58.9285714285714,58.9285714285714,26.2599469496021,0,0,0
"174","RW20",2,0,1,1,0,3,0,1,2,0,0,0,0,0,0,176,0,62,114,0,4,0,4,0,0,521,14,293,214,0,132,1,56,75,0,20,0,9,11,0,2,0,1,1,0,512,14,287,211,0,47,0,10,37,0,283,1,102,180,0,1,0,0,1,0,17,1,5,11,0,1,0,0,1,0,684,3,249,432,0,4,0,3,1,0,3,0,2,1,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1208,2317,"Fulton",1,1207,1205,52.136383254208,99.9172185430464,52.0932239965473,99.7516556291391,52.0069054812257,43.1648715824358,43.2365145228216,43.1291390728477,22.4859732412603,56.6694283347142,56.7634854771784,56.6225165562914,29.5209322399655,0,0,0
"175","RW21",0,0,0,0,0,5,1,2,2,0,0,0,0,0,0,277,0,100,177,0,6,0,3,3,0,494,8,263,222,1,191,0,87,104,0,16,0,7,9,0,0,0,0,0,0,481,8,258,214,1,25,0,9,16,0,367,0,153,214,0,3,0,1,2,0,23,1,10,12,0,0,0,0,0,0,917,2,375,540,0,3,0,2,1,0,5,0,1,4,0,3,0,2,1,0,2,0,0,2,0,4,0,3,1,0,1413,2963,"Fulton",1,1411,1411,47.6881538980763,99.8584571832979,47.6206547418157,99.8584571832979,47.6206547418157,35.0106307583274,35.0106307583274,34.9610757254069,16.672291596355,64.9893692416726,64.9893692416726,64.897381457891,30.9483631454607,0,0,0
"176","RW22A",1,0,1,0,0,2,0,1,1,0,0,0,0,0,0,97,0,29,68,0,0,0,0,0,0,639,4,288,346,1,73,0,29,44,0,6,0,4,2,0,1,0,1,0,0,624,4,280,339,1,34,0,9,25,0,174,0,46,128,0,1,0,0,1,0,11,0,1,10,0,0,0,0,0,0,401,0,119,282,0,9,0,5,4,0,3,0,2,1,0,2,0,0,2,0,1,0,1,0,0,3,0,0,3,0,1042,3712,"Fulton",1,1041,1040,28.0711206896552,99.9040307101727,28.0441810344828,99.8080614203455,28.0172413793103,61.3832853025937,61.4423076923077,61.3243761996161,17.2144396551724,38.5206532180596,38.5576923076923,38.4836852207294,10.8028017241379,0,0,0
"177","SS01",1,0,0,1,0,4,0,3,1,0,0,0,0,0,0,234,1,25,206,2,8,0,0,8,0,573,49,229,294,1,183,2,35,146,0,5,0,0,5,0,1,0,0,1,0,564,48,227,288,1,69,0,12,57,0,392,1,66,325,0,6,0,1,5,0,15,0,4,11,0,0,0,0,0,0,922,4,147,769,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1,2,5,0,6,0,1,5,0,1497,2787,"Fulton",1,1496,1495,53.713670613563,99.9331997327989,53.6777897380696,99.8663994655979,53.6419088625762,38.3021390374332,38.3277591973244,38.2765531062124,20.5597416576964,61.6310160427808,61.6722408026756,61.5898463593854,33.0821672048798,0,0,0
"178","SS02A",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,35,0,12,23,0,0,0,0,0,0,271,6,155,110,0,25,0,10,15,0,4,0,2,2,0,0,0,0,0,0,259,6,148,105,0,29,0,13,16,0,91,0,33,58,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,188,0,70,118,0,2,0,1,1,0,0,0,0,0,0,2,0,1,1,0,8,0,5,3,0,1,0,0,1,0,460,1063,"Fulton",1,459,459,43.2737535277516,99.7826086956522,43.1796801505174,99.7826086956522,43.1796801505174,59.041394335512,59.041394335512,58.9130434782609,25.4938852304798,40.958605664488,40.958605664488,40.8695652173913,17.6857949200376,0,0,0
"179","SS02B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,7,12,0,1,0,0,1,0,327,4,134,186,3,16,0,8,8,0,2,0,2,0,0,0,0,0,0,0,320,4,130,183,3,18,0,7,11,0,42,0,16,26,0,1,0,0,1,0,5,0,3,2,0,1,0,1,0,0,105,0,44,61,0,2,0,2,0,0,0,0,0,0,0,1,0,0,1,0,4,0,2,2,0,0,0,0,0,0,432,1115,"Fulton",1,432,432,38.7443946188341,100,38.7443946188341,100,38.7443946188341,75.6944444444444,75.6944444444444,75.6944444444444,29.3273542600897,24.3055555555556,24.3055555555556,24.3055555555556,9.41704035874439,0,0,0
"180","SS03",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,48,0,6,42,0,1,0,1,0,0,333,22,135,176,0,45,0,17,28,0,1,0,0,1,0,1,0,1,0,0,328,22,132,174,0,59,0,15,44,0,108,0,21,87,0,1,0,1,0,0,3,0,0,3,0,0,0,0,0,0,267,0,61,206,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,0,3,1,0,1,0,0,1,0,601,1250,"Fulton",1,601,600,48.08,100,48.08,99.8336106489185,48,55.4076539101497,55.5,55.4076539101497,26.64,44.4259567387687,44.5,44.4259567387687,21.36,0,0,0
"181","SS04",2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,54,0,12,41,1,3,0,0,3,0,670,31,261,371,7,58,0,17,41,0,6,0,1,5,0,2,0,1,1,0,658,31,254,366,7,74,1,9,64,0,174,5,29,140,0,1,0,1,0,0,5,0,0,5,0,2,0,1,1,0,382,6,70,305,1,4,0,3,1,0,1,0,1,0,0,2,0,0,2,0,5,0,3,2,0,4,0,0,4,0,1056,2885,"Fulton",1,1054,1052,36.6031195840555,99.8106060606061,36.5337954939341,99.6212121212121,36.4644714038128,63.5673624288425,63.6882129277567,63.4469696969697,23.2235701906412,36.2428842504744,36.3117870722433,36.1742424242424,13.2409012131716,0,0,0
"182","SS05",2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,42,0,9,33,0,1,0,0,1,0,477,26,203,247,1,107,0,28,79,0,2,0,1,1,0,2,0,0,2,0,465,25,200,239,1,136,0,28,108,0,188,0,38,150,0,0,0,0,0,0,5,0,2,3,0,0,0,0,0,0,483,0,107,376,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,8,0,2,0,1,1,0,964,1689,"Fulton",1,962,960,57.0751924215512,99.7925311203319,56.9567791592658,99.5850622406639,56.8383658969805,49.5841995841996,49.6875,49.4813278008299,28.2415630550622,50.2079002079002,50.3125,50.103734439834,28.5968028419183,0,0,0
