"","precinct","AlexanderHernandez","AlexanderHernandez_AbsenteebyMail","AlexanderHernandez_AdvanceinPerson","AlexanderHernandez_ElectionDay","AlexanderHernandez_Provisional","AmyKremer","AmyKremer_AbsenteebyMail","AmyKremer_AdvanceinPerson","AmyKremer_ElectionDay","AmyKremer_Provisional","AndrePollard","AndrePollard_AbsenteebyMail","AndrePollard_AdvanceinPerson","AndrePollard_ElectionDay","AndrePollard_Provisional","BobGray","BobGray_AbsenteebyMail","BobGray_AdvanceinPerson","BobGray_ElectionDay","BobGray_Provisional","BruceLevell","BruceLevell_AbsenteebyMail","BruceLevell_AdvanceinPerson","BruceLevell_ElectionDay","BruceLevell_Provisional","DEM","DEM_AbsenteebyMail","DEM_AdvanceinPerson","DEM_ElectionDay","DEM_Provisional","DanMoody","DanMoody_AbsenteebyMail","DanMoody_AdvanceinPerson","DanMoody_ElectionDay","DanMoody_Provisional","DavidAbroms","DavidAbroms_AbsenteebyMail","DavidAbroms_AdvanceinPerson","DavidAbroms_ElectionDay","DavidAbroms_Provisional","IND","IND_AbsenteebyMail","IND_AdvanceinPerson","IND_ElectionDay","IND_Provisional","JonOssoff","JonOssoff_AbsenteebyMail","JonOssoff_AdvanceinPerson","JonOssoff_ElectionDay","JonOssoff_Provisional","JudsonHill","JudsonHill_AbsenteebyMail","JudsonHill_AdvanceinPerson","JudsonHill_ElectionDay","JudsonHill_Provisional","KarenHandel","KarenHandel_AbsenteebyMail","KarenHandel_AdvanceinPerson","KarenHandel_ElectionDay","KarenHandel_Provisional","KeithGrawert","KeithGrawert_AbsenteebyMail","KeithGrawert_AdvanceinPerson","KeithGrawert_ElectionDay","KeithGrawert_Provisional","KurtWilson","KurtWilson_AbsenteebyMail","KurtWilson_AdvanceinPerson","KurtWilson_ElectionDay","KurtWilson_Provisional","MohammadAliBhuiyan","MohammadAliBhuiyan_AbsenteebyMail","MohammadAliBhuiyan_AdvanceinPerson","MohammadAliBhuiyan_ElectionDay","MohammadAliBhuiyan_Provisional","REP","REP_AbsenteebyMail","REP_AdvanceinPerson","REP_ElectionDay","REP_Provisional","RaginEdwards","RaginEdwards_AbsenteebyMail","RaginEdwards_AdvanceinPerson","RaginEdwards_ElectionDay","RaginEdwards_Provisional","RebeccaQuigg","RebeccaQuigg_AbsenteebyMail","RebeccaQuigg_AdvanceinPerson","RebeccaQuigg_ElectionDay","RebeccaQuigg_Provisional","RichardKeatley","RichardKeatley_AbsenteebyMail","RichardKeatley_AdvanceinPerson","RichardKeatley_ElectionDay","RichardKeatley_Provisional","RonSlotin","RonSlotin_AbsenteebyMail","RonSlotin_AdvanceinPerson","RonSlotin_ElectionDay","RonSlotin_Provisional","WilliamLlop","WilliamLlop_AbsenteebyMail","WilliamLlop_AdvanceinPerson","WilliamLlop_ElectionDay","WilliamLlop_Provisional","ballotsCast","totalVoters","COUNTY","PRECINCTS","IDRV","DRV","BC_TV","IDRV_BC","IDRV_TV","DRV_BC","DRV_TV","DEM_IDRV","DEM_DRV","DEM_BC","DEM_TV","REP_IDRV","REP_DRV","REP_BC","REP_TV","DPW","RPW","IPW"
"183","SS06",0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,51,0,5,46,0,3,0,0,3,0,293,12,108,172,1,84,2,14,68,0,6,0,0,6,0,1,0,0,1,0,281,10,107,163,1,71,0,12,59,0,117,3,21,93,0,1,0,0,1,0,2,0,0,2,0,0,0,0,0,0,339,5,52,282,0,2,0,1,1,0,0,0,0,0,0,1,0,0,1,0,9,2,0,7,0,3,0,0,3,0,633,1247,"Fulton",1,633,632,50.7618283881315,100,50.7618283881315,99.8420221169036,50.6816359262229,46.2875197472354,46.3607594936709,46.2875197472354,23.4963913392141,53.5545023696682,53.6392405063291,53.5545023696682,27.1852445870088,0,0,0
"184","SS07A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1,5,31,1,0,0,0,0,0,172,11,59,101,1,40,3,12,25,0,4,0,1,3,0,0,0,0,0,0,169,11,59,98,1,42,1,10,31,0,96,4,26,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,9,54,159,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,2,0,3,0,0,3,0,395,841,"Fulton",1,395,395,46.9678953626635,100,46.9678953626635,100,46.9678953626635,43.5443037974684,43.5443037974684,43.5443037974684,20.4518430439952,56.4556962025316,56.4556962025316,56.4556962025316,26.5160523186683,0,0,0
"185","SS07B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,11,0,0,0,0,0,0,116,8,40,68,0,15,0,6,9,0,1,0,0,1,0,0,0,0,0,0,112,8,36,68,0,19,0,6,13,0,28,0,7,21,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,77,0,20,57,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2,0,2,0,0,2,0,0,2,0,194,477,"Fulton",1,193,193,40.6708595387841,99.4845360824742,40.461215932914,99.4845360824742,40.461215932914,60.1036269430052,60.1036269430052,59.7938144329897,24.3186582809224,39.8963730569948,39.8963730569948,39.6907216494845,16.1425576519916,0,0,0
"186","SS07C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,4,21,0,0,0,0,0,0,126,17,31,78,0,29,0,7,22,0,3,1,0,2,0,0,0,0,0,0,120,16,30,74,0,16,1,3,12,0,34,0,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,2,15,90,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,233,701,"Fulton",1,233,233,33.2382310984308,100,33.2382310984308,100,33.2382310984308,54.0772532188841,54.0772532188841,54.0772532188841,17.9743223965763,45.9227467811159,45.9227467811159,45.9227467811159,15.2639087018545,0,0,0
"187","SS08A",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,0,3,14,0,0,0,0,0,0,263,6,58,199,0,21,0,7,14,0,3,0,0,3,0,1,0,0,1,0,251,4,55,192,0,35,0,6,28,1,43,0,3,40,0,0,0,0,0,0,2,0,1,1,0,1,0,0,1,0,123,0,20,102,1,3,0,0,3,0,2,0,0,2,0,2,0,1,1,0,5,2,2,1,0,1,0,0,1,0,388,1159,"Fulton",1,387,386,33.4771354616048,99.7422680412371,33.3908541846419,99.4845360824742,33.304572907679,67.9586563307493,68.1347150259067,67.7835051546392,22.6919758412424,31.7829457364341,31.8652849740933,31.7010309278351,10.6125970664366,0,0,0
"188","SS08B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,1,21,0,0,0,0,0,0,138,6,50,82,0,33,0,5,28,0,1,0,0,1,0,0,0,0,0,0,138,6,50,82,0,15,0,5,10,0,40,2,7,31,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,118,2,18,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,256,599,"Fulton",1,256,256,42.7378964941569,100,42.7378964941569,100,42.7378964941569,53.90625,53.90625,53.90625,23.0383973288815,46.09375,46.09375,46.09375,19.6994991652755,0,0,0
"189","SS08C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,10,0,1,0,0,1,0,132,3,48,81,0,11,1,3,7,0,1,0,1,0,0,0,0,0,0,0,131,3,47,81,0,8,0,2,6,0,21,0,9,12,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,55,1,17,37,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,553,"Fulton",1,187,187,33.8155515370705,100,33.8155515370705,100,33.8155515370705,70.5882352941177,70.5882352941177,70.5882352941177,23.869801084991,29.4117647058824,29.4117647058824,29.4117647058824,9.94575045207957,0,0,0
"190","SS08D",0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,18,0,3,15,0,0,0,0,0,0,223,12,79,131,1,35,0,10,25,0,2,0,0,2,0,0,0,0,0,0,214,12,75,126,1,17,0,1,16,0,46,0,9,37,0,1,0,0,1,0,2,0,0,2,0,0,0,0,0,0,124,0,23,101,0,1,0,1,0,0,2,0,0,2,0,2,0,1,1,0,4,0,2,2,0,0,0,0,0,0,347,1110,"Fulton",1,347,347,31.2612612612613,100,31.2612612612613,100,31.2612612612613,64.2651296829971,64.2651296829971,64.2651296829971,20.0900900900901,35.7348703170029,35.7348703170029,35.7348703170029,11.1711711711712,0,0,0
"191","SS11A",0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,90,2,10,78,0,4,1,0,3,0,666,16,210,437,3,68,0,15,53,0,8,0,1,7,0,0,0,0,0,0,655,15,207,430,3,72,2,20,50,0,194,2,34,155,3,3,0,2,1,0,3,0,0,3,0,4,0,1,3,0,449,7,83,356,3,4,1,1,2,0,2,0,1,1,0,2,0,1,1,0,3,0,0,3,0,1,0,0,1,0,1115,3392,"Fulton",1,1115,1115,32.8714622641509,100,32.8714622641509,100,32.8714622641509,59.7309417040359,59.7309417040359,59.7309417040359,19.6344339622642,40.2690582959641,40.2690582959641,40.2690582959641,13.2370283018868,0,0,0
"192","SS11B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,2,13,0,0,0,0,0,0,259,4,100,151,4,22,0,8,14,0,3,0,2,1,0,0,0,0,0,0,252,4,99,145,4,9,0,3,6,0,50,0,7,42,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,101,0,22,78,1,3,0,1,2,0,2,0,0,2,0,0,0,0,0,0,2,0,0,2,0,1,0,0,1,0,360,1089,"Fulton",1,360,360,33.0578512396694,100,33.0578512396694,100,33.0578512396694,71.9444444444444,71.9444444444444,71.9444444444444,23.7832874196511,28.0555555555556,28.0555555555556,28.0555555555556,9.27456382001836,0,0,0
"193","SS11C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,42,0,15,27,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,41,0,15,26,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,53,234,"Fulton",1,53,53,22.6495726495727,100,22.6495726495727,100,22.6495726495727,79.2452830188679,79.2452830188679,79.2452830188679,17.9487179487179,20.7547169811321,20.7547169811321,20.7547169811321,4.7008547008547,0,0,0
"194","SS12",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,97,1,13,83,0,7,0,1,6,0,495,44,165,283,3,77,1,8,68,0,10,0,3,7,0,0,0,0,0,0,491,44,163,281,3,94,0,18,74,2,206,7,30,168,1,3,0,0,3,0,1,0,0,1,0,0,0,0,0,0,497,9,73,411,4,1,0,0,1,0,0,0,0,0,0,2,0,2,0,0,1,0,0,1,0,1,0,0,1,0,992,2429,"Fulton",1,992,992,40.8398517908604,100,40.8398517908604,100,40.8398517908604,49.8991935483871,49.8991935483871,49.8991935483871,20.3787566899959,50.1008064516129,50.1008064516129,50.1008064516129,20.4610951008646,0,0,0
"195","SS15A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,2,0,1,1,0,435,7,150,277,1,19,0,6,13,0,1,0,0,1,0,0,0,0,0,0,424,7,142,274,1,3,0,1,2,0,35,1,9,25,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,69,1,17,51,0,6,0,3,3,0,1,0,1,0,0,1,0,1,0,0,3,0,3,0,0,1,0,0,1,0,504,2260,"Fulton",1,504,504,22.3008849557522,100,22.3008849557522,100,22.3008849557522,86.3095238095238,86.3095238095238,86.3095238095238,19.2477876106195,13.6904761904762,13.6904761904762,13.6904761904762,3.05309734513274,0,0,0
"196","SS15B",1,1,0,0,0,2,0,0,2,0,0,0,0,0,0,31,0,7,23,1,0,0,0,0,0,307,6,116,184,1,30,1,6,23,0,3,0,1,2,0,1,1,0,0,0,303,6,114,182,1,17,0,2,15,0,55,1,9,45,0,1,0,0,1,0,4,0,0,3,1,3,0,0,3,0,147,2,25,118,2,1,0,1,0,0,2,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,455,1442,"Fulton",1,455,454,31.5533980582524,100,31.5533980582524,99.7802197802198,31.4840499306519,67.4725274725275,67.6211453744493,67.4725274725275,21.2898751733703,32.3076923076923,32.3788546255507,32.3076923076923,10.1941747572816,0,0,0
"197","SS16",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,82,0,5,77,0,0,0,0,0,0,428,24,149,255,0,94,0,18,76,0,7,0,2,5,0,0,0,0,0,0,420,23,149,248,0,168,2,25,141,0,249,2,23,224,0,2,0,1,1,0,1,0,0,1,0,2,0,0,2,0,607,4,74,529,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7,1,0,6,0,1,0,0,1,0,1036,1914,"Fulton",1,1035,1035,54.1274817136886,99.9034749034749,54.0752351097179,99.9034749034749,54.0752351097179,41.3526570048309,41.3526570048309,41.3127413127413,22.3615464994775,58.6473429951691,58.6473429951691,58.5907335907336,31.7136886102403,0,0,0
"198","SS17",1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,193,2,34,154,3,15,0,2,13,0,563,31,262,268,2,168,5,50,113,0,9,0,3,6,0,2,0,1,1,0,550,29,258,261,2,57,0,9,48,0,289,1,62,226,0,5,0,1,4,0,14,0,2,11,1,0,0,0,0,0,754,8,164,578,4,6,2,1,3,0,1,0,0,1,0,1,0,0,1,0,5,0,3,2,0,4,0,1,3,0,1321,3201,"Fulton",1,1319,1317,41.2683536394877,99.8485995457986,41.2058731646361,99.6971990915973,41.1433926897844,42.6838514025777,42.7486712224753,42.6192278576836,17.5882536707279,57.1645185746778,57.2513287775247,57.0779712339137,23.5551390190565,0,0,0
"199","SS18A",0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,31,0,1,30,0,0,0,0,0,0,156,2,85,69,0,21,0,7,14,0,2,0,0,2,0,0,0,0,0,0,151,2,82,67,0,46,0,10,36,0,64,0,13,51,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,167,1,33,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,2,0,0,0,0,0,0,324,590,"Fulton",1,323,323,54.9152542372881,99.6913580246914,54.7457627118644,99.6913580246914,54.7457627118644,48.297213622291,48.297213622291,48.1481481481481,26.4406779661017,51.702786377709,51.702786377709,51.5432098765432,28.3050847457627,0,0,0
"200","SS18B",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,9,0,1,6,2,0,0,0,0,0,59,1,34,24,0,9,0,4,5,0,2,0,1,1,0,0,0,0,0,0,58,1,34,23,0,13,0,4,9,0,20,0,6,14,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,56,0,17,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,115,212,"Fulton",1,115,115,54.2452830188679,100,54.2452830188679,100,54.2452830188679,51.304347826087,51.304347826087,51.304347826087,27.8301886792453,48.695652173913,48.695652173913,48.695652173913,26.4150943396226,0,0,0
"201","SS19A",1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,45,0,14,31,0,4,0,3,1,0,574,16,264,293,1,42,1,27,14,0,4,0,2,2,0,2,0,1,1,0,560,16,257,286,1,25,0,11,14,0,102,0,38,63,1,4,0,2,2,0,4,0,0,4,0,3,0,2,1,0,235,1,100,133,1,6,0,1,5,0,5,0,4,1,0,2,0,1,1,0,1,0,1,0,0,2,0,1,1,0,812,2679,"Fulton",1,811,809,30.3098170959313,99.8768472906404,30.2724897349757,99.6305418719212,30.1978350130646,70.7768187422935,70.9517923362176,70.6896551724138,21.4259051885032,28.9765721331689,29.0482076637824,28.9408866995074,8.7719298245614,0,0,0
"202","SS19B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,9,20,0,1,0,0,1,0,455,23,244,187,1,36,2,13,21,0,7,0,2,5,0,0,0,0,0,0,437,19,236,181,1,26,0,12,14,0,96,2,36,58,0,4,0,0,4,0,4,0,2,2,0,1,0,0,1,0,204,4,74,126,0,4,1,3,0,0,1,0,0,1,0,1,0,0,1,0,12,3,5,4,0,0,0,0,0,0,660,1932,"Fulton",1,659,659,34.1614906832298,99.8484848484848,34.1097308488613,99.8484848484848,34.1097308488613,69.0440060698027,69.0440060698027,68.9393939393939,23.5507246376812,30.9559939301973,30.9559939301973,30.9090909090909,10.5590062111801,0,0,0
"203","SS20",0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,28,0,9,19,0,1,0,1,0,0,344,5,153,185,1,48,1,27,20,0,5,0,4,1,0,0,0,0,0,0,336,5,149,181,1,17,0,5,12,0,109,1,43,65,0,2,0,1,1,0,4,0,0,4,0,0,0,0,0,0,217,2,92,123,0,2,0,2,0,0,2,0,1,1,0,1,0,1,0,0,3,0,0,3,0,1,0,0,1,0,561,1790,"Fulton",1,561,561,31.340782122905,100,31.340782122905,100,31.340782122905,61.319073083779,61.319073083779,61.319073083779,19.2178770949721,38.680926916221,38.680926916221,38.680926916221,12.122905027933,0,0,0
"204","SS22",2,0,1,1,0,2,0,1,1,0,1,0,0,1,0,76,4,10,62,0,11,0,4,7,0,463,34,187,237,5,78,0,40,36,2,9,0,6,3,0,3,0,1,2,0,455,32,186,232,5,63,1,13,49,0,180,0,39,141,0,3,0,0,3,0,2,0,0,2,0,2,0,0,2,0,426,5,113,306,2,2,0,1,1,0,2,1,0,1,0,1,0,0,1,0,3,1,0,2,0,0,0,0,0,0,894,2481,"Fulton",1,892,889,36.0338573155985,99.7762863534676,35.9532446594115,99.4407158836689,35.832325675131,51.9058295964126,52.0809898762655,51.7897091722595,18.6618299072954,47.7578475336323,47.9190101237345,47.6510067114094,17.1704957678356,0,0,0
"205","SS25",0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,130,1,14,115,0,1,0,0,1,0,250,16,117,116,1,92,0,18,74,0,3,0,0,3,0,2,0,0,2,0,247,15,117,114,1,35,0,2,33,0,137,1,8,128,0,3,0,2,1,0,5,0,0,5,0,1,0,0,1,0,407,2,44,361,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,659,1484,"Fulton",1,659,657,44.4070080862534,100,44.4070080862534,99.6965098634294,44.2722371967655,37.9362670713202,38.0517503805175,37.9362670713202,16.8463611859838,61.7602427921093,61.9482496194825,61.7602427921093,27.4258760107817,0,0,0
"206","SS26",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,22,1,13,8,0,0,0,0,0,0,637,5,270,359,3,23,1,8,14,0,7,0,4,3,0,0,0,0,0,0,622,5,262,352,3,17,0,11,6,0,67,0,26,41,0,3,0,1,2,0,2,0,0,2,0,0,0,0,0,0,144,2,63,79,0,6,0,4,2,0,4,0,2,2,0,2,0,1,1,0,3,0,1,2,0,2,0,0,2,0,783,3061,"Fulton",1,781,781,25.5798758575629,99.7445721583653,25.5145377327671,99.7445721583653,25.5145377327671,81.562099871959,81.562099871959,81.3537675606641,20.8101927474681,18.437900128041,18.437900128041,18.3908045977011,4.70434498529892,0,0,0
"207","SS29A",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,70,1,9,60,0,0,0,0,0,0,544,26,238,275,5,75,1,21,53,0,8,0,1,7,0,0,0,0,0,0,538,26,235,272,5,62,3,8,51,0,162,3,42,117,0,4,0,1,3,0,12,0,2,10,0,1,0,0,1,0,398,8,85,305,0,1,0,1,0,0,0,0,0,0,0,2,0,1,1,0,3,0,1,2,0,3,0,1,2,0,942,2383,"Fulton",1,942,942,39.5300041963911,100,39.5300041963911,100,39.5300041963911,57.7494692144374,57.7494692144374,57.7494692144374,22.8283676038607,42.2505307855626,42.2505307855626,42.2505307855626,16.7016365925304,0,0,0
"208","SS31",0,0,0,0,0,3,0,1,1,1,0,0,0,0,0,29,0,8,21,0,0,0,0,0,0,235,10,110,114,1,26,0,13,13,0,5,0,2,3,0,0,0,0,0,0,226,10,105,110,1,33,0,10,23,0,96,0,21,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,57,136,1,6,0,4,2,0,2,0,1,1,0,0,0,0,0,0,1,0,0,1,0,2,0,2,0,0,430,960,"Fulton",1,429,429,44.7916666666667,99.7674418604651,44.6875,99.7674418604651,44.6875,54.7785547785548,54.7785547785548,54.6511627906977,24.4791666666667,45.2214452214452,45.2214452214452,45.1162790697674,20.2083333333333,0,0,0
