"","Cobb_1611","DeKalb_1611","Fulton_1611","Total_1611","KEY"
"totalVoters",137038,94149,203500,144895.666666667,"totalVoters"
"PRECINCTS",51,43,116,70,"PRECINCTS"
"IDRV",97462,72205,156338,326005,"IDRV"
"IDRV_TV",71.1204191538114,76.6922643894253,76.82457002457,74.8790845226022,"IDRV_TV"
"IDRV_BC",87.07717599128,94.8817345597897,94.6161201689725,92.1916769066807,"IDRV_BC"
"IPW",0,0,0,0,"IPW"
"ballotsCast",111926,76100,165234,353260,"ballotsCast"
"BC_TV",81.6751557962025,80.8293237315319,81.1960687960688,81.2335161079344,"BC_TV"
"DRV",97462,72205,156338,326005,"DRV"
"DRV_TV",71.1204191538114,76.6922643894253,76.82457002457,74.8790845226022,"DRV_TV"
"DRV_BC",87.07717599128,94.8817345597897,94.6161201689725,92.1916769066807,"DRV_BC"
"DEM",31916,34326,58675,124917,"DEM"
"DEM_IDRV",32.7471219552236,47.5396440689703,37.5308626181734,39.2725428807891,"DEM_IDRV"
"DEM_DRV",32.7471219552236,47.5396440689703,37.5308626181734,39.2725428807891,"DEM_DRV"
"DEM_BC",28.5152690170291,45.1064388961892,35.510246075263,36.3773179961604,"DEM_BC"
"DEM_TV",23.2898903953648,36.4592295191664,28.8329238329238,29.5273479158184,"DEM_TV"
"DPW",4,17,24,45,"DPW"
"REP",65546,37879,97663,201088,"REP"
"REP_IDRV",67.2528780447764,52.4603559310297,62.4691373818266,60.7274571192109,"REP_IDRV"
"REP_DRV",67.2528780447764,52.4603559310297,62.4691373818266,60.7274571192109,"REP_DRV"
"REP_BC",58.5619069742508,49.7752956636005,59.1058740937095,55.8143589105203,"REP_BC"
"REP_TV",47.8305287584466,40.2330348702588,47.9916461916462,45.3517366067839,"REP_TV"
"RPW",46,26,92,164,"RPW"
