"","precinct","DEM","DEM_AbsenteebyMail","DEM_AdvanceinPerson","DEM_ElectionDay","DEM_Provisional","REP","REP_AbsenteebyMail","REP_AdvanceinPerson","REP_ElectionDay","REP_Provisional","RodneyStooksbury","RodneyStooksbury_AbsenteebyMail","RodneyStooksbury_AdvanceinPerson","RodneyStooksbury_ElectionDay","RodneyStooksbury_Provisional","TomPrice","TomPrice_AbsenteebyMail","TomPrice_AdvanceinPerson","TomPrice_ElectionDay","TomPrice_Provisional","ballotsCast","totalVoters","COUNTY","PRECINCTS","IDRV","DRV","BC_TV","IDRV_BC","IDRV_TV","DRV_BC","DRV_TV","DEM_IDRV","DEM_DRV","DEM_BC","DEM_TV","REP_IDRV","REP_DRV","REP_BC","REP_TV","DPW","RPW","IPW"
"16","Elizabeth 05",737,59,299,379,0,1280,104,388,785,3,737,59,299,379,0,1280,104,388,785,3,2116,2561,"Cobb",1,2017,2017,82.6239750097618,95.3213610586011,78.7582975400234,95.3213610586011,78.7582975400234,36.5394149727318,36.5394149727318,34.8298676748582,28.777821163608,63.4605850272682,63.4605850272682,60.4914933837429,49.9804763764155,0,1,0
"17","Fullers Park 01",752,45,299,405,3,1622,155,540,919,8,752,45,299,405,3,1622,155,540,919,8,2486,2953,"Cobb",1,2374,2374,84.1855739925499,95.4947707160097,80.3928208601422,95.4947707160097,80.3928208601422,31.6764953664701,31.6764953664701,30.249396621078,25.4656281747376,68.3235046335299,68.3235046335299,65.2453740949316,54.9271926854047,0,1,0
"18","Garrison Mill 01",633,39,260,334,0,1313,105,397,810,1,633,39,260,334,0,1313,105,397,810,1,2018,2408,"Cobb",1,1946,1946,83.8039867109635,96.4321110009911,80.8139534883721,96.4321110009911,80.8139534883721,32.5282631038027,32.5282631038027,31.3676907829534,26.2873754152824,67.4717368961973,67.4717368961973,65.0644202180377,54.5265780730897,0,1,0
"19","Gritters 01",884,41,367,474,2,1654,140,612,902,0,884,41,367,474,2,1654,140,612,902,0,2651,3313,"Cobb",1,2538,2538,80.0181104738907,95.7374575631837,76.6073045578026,95.7374575631837,76.6073045578026,34.8305752561072,34.8305752561072,33.3459072048284,26.6827648656807,65.1694247438928,65.1694247438928,62.3915503583553,49.9245396921219,0,1,0
"20","Hightower 01",864,81,292,491,0,2133,233,591,1307,2,864,81,292,491,0,2133,233,591,1307,2,3130,3697,"Cobb",1,2997,2997,84.6632404652421,95.7507987220447,81.0657289694347,95.7507987220447,81.0657289694347,28.8288288288288,28.8288288288288,27.6038338658147,23.3703002434406,71.1711711711712,71.1711711711712,68.14696485623,57.695428725994,0,1,0
"21","Kell 01",421,28,181,212,0,959,76,341,539,3,421,28,181,212,0,959,76,341,539,3,1433,1725,"Cobb",1,1380,1380,83.0724637681159,96.301465457083,80,96.301465457083,80,30.5072463768116,30.5072463768116,29.3789253314724,24.4057971014493,69.4927536231884,69.4927536231884,66.9225401256106,55.5942028985507,0,1,0
"22","Lasssiter 01",666,45,289,332,0,1889,201,655,1031,2,666,45,289,332,0,1889,201,655,1031,2,2650,3148,"Cobb",1,2555,2555,84.1804320203304,96.4150943396226,81.1626429479034,96.4150943396226,81.1626429479034,26.0665362035225,26.0665362035225,25.1320754716981,21.156289707751,73.9334637964775,73.9334637964775,71.2830188679245,60.0063532401525,0,1,0
"23","Mabry 01",287,21,111,154,1,967,85,277,604,1,287,21,111,154,1,967,85,277,604,1,1294,1519,"Cobb",1,1254,1254,85.1876234364714,96.9088098918083,82.5543120473996,96.9088098918083,82.5543120473996,22.8867623604466,22.8867623604466,22.1792890262751,18.8940092165899,77.1132376395534,77.1132376395534,74.7295208655332,63.6603028308097,0,1,0
"24","Marietta 5A",430,100,155,174,1,110,28,35,46,1,430,100,155,174,1,110,28,35,46,1,1785,2112,"Cobb",1,540,540,84.5170454545455,30.2521008403361,25.5681818181818,30.2521008403361,25.5681818181818,79.6296296296296,79.6296296296296,24.0896358543417,20.3598484848485,20.3703703703704,20.3703703703704,6.1624649859944,5.20833333333333,1,0,0
"25","Marietta 5B",1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1295,2010,"Cobb",1,2,2,64.4278606965174,0.154440154440154,0.0995024875621891,0.154440154440154,0.0995024875621891,50,50,0.0772200772200772,0.0497512437810945,50,50,0.0772200772200772,0.0497512437810945,0,0,0
